codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0000-670-6000,664.17,1,Recipiente de água,TS350 TS420 TS760 TS800,1,10,5.2,84679900,795711809591
0000-790-4400,1227.44,1,Apoio dorsal RTS,HT75 HT131,6,10,5.2,84679900,795711424527
0000-790-7700,35.89,1,Cinto peitoral,BR800,1,0,0.0,63079090,795711424671
0000-790-8600,72.48,1,Grampo HT,HT75 HT131 HT133,3,10,5.2,84679100,886661389599
0000-792-9160,28.92,1,Proteção da corrente Tophandle 35 cm,,1,10,9.75,39269090,795711809546
0000-792-9170,16.28,1,Proteção da corrente 25 cm 3005 mini,HTA50.0,1,10,9.75,39269090,795711937355
0000-792-9171,18.78,1,Proteção da corrente 30 - 35 cm 3005 min,MS170 MS172 MS180 MSA160 MSAKA MSAKM HT75 HT131-PMN,1,10,9.75,39269090,795711937362
0000-792-9172,18.78,1,Proteção da corrente 30 - 35 cm 3005,MS210 MS230 MS250 Corrente Picco Micro,1,10,9.75,39269090,795711937379
0000-792-9173,21.28,1,Proteção da corrente 40 - 45 cm 3005,MS230 MS250 Corrente Picco Micro,1,10,9.75,39269090,795711937386
0000-792-9174,19.28,1,Proteção da corrente 32 - 37cm 3003/3002,MS260 MS310 MS361 MS381,1,10,9.75,39269090,795711937393
0000-792-9175,21.28,1,Proteção da corrente 40 - 45 cm 3003,MS260 MS310 MS361 MS381 MS460 MS650,1,10,9.75,39269090,795711937409
0000-792-9176,23.78,1,Proteção da corrente 50 - 55 cm,MS310 MS361 MS382 MS460 MS650 MS660,1,10,9.75,39269090,795711937416
0000-792-9177,25.79,1,Proteção da corrente 63 cm,MS460 MS650 MS660,1,10,9.75,39269090,795711937423
0000-792-9178,28.8,1,Proteção da corrente 71 - 75 cm,MS660,1,10,9.75,39269090,795711937430
0000-881-8204,3.71,150,Cortador de fio de corte,Kit com 150 unidades - Aplicável em todos os Fios de Corte,1,0,7.8,82119390,886661068883
0000-882-9700,729.0,1,Caixa de bateria P Cinza,Toda linha de baterias,1,0,9.75,39231090,886661958290
0000-882-9701,829.0,1,Caixa de bateria M Cinza,Toda linha de baterias,1,0,9.75,39231090,886661958306
0000-882-9702,949.0,1,Caixa de bateria G Cinza,Toda linha de baterias,1,0,9.75,39231090,886661958313
0000-930-2284,24.69,1,"Fio corte red. Ø 1,4 mm x 16,0 m trs",FSE41,1,10,6.5,39169010,795711271367
0000-930-2415,29.44,1,"Fio corte red.sil. Ø 1,6 mm x 19,0 m",FSA45 FSA56,1,10,6.5,39169010,886661002603
0000-930-2416,36.31,1,"Fio corte red.sil. Ø 2,0 mm x 14,0 m vd",FS75 FE55 FSE65 FSE38,1,10,6.5,39169010,886661002641
0000-930-2419,28.52,1,"Fio corte red.sil. Ø 2,4 mm x 14,0 m la",KA85R KM55R KM85R FS55 E65 E80 E85 E85R E86 E88 E106 E108 E120 E130 E250 FR85 FR106 FR108 FR220 FR350 FR380 FR460,1,10,6.5,39169010,886661002757
0000-930-2422,23.59,1,"Fio corte red.sil. Ø 2,7 mm x 9,0 m vm",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,1,10,6.5,39169010,886661002917
0000-930-3504,42.5,1,"Fio corte dentado Ø 3,0 mm x 0,185 m",DuroCut 20-2; DuroCut 40-4,1,10,6.5,39169010,886661018147
0000-930-3505,51.56,1,"Fio corte dentado Ø 4,0 mm x 0,215 m",DuroCut 40-4,1,10,6.5,39169010,886661018154
0000-930-3614,11.74,1,"Fio corte red. Ø 2,0 mm x 15,3 m vd",FS38 FS75 FE55 FSE65,1,10,6.5,39169010,886661807086
0000-930-3615,72.36,1,"Fio corte red. Ø 2,0 mm x 123,0 m vd",FS38 FS75 FE55 FSE65,1,10,6.5,39169010,886661807093
0000-930-3616,22.74,1,"Fio corte red. Ø 2,4 mm x 15,3 m la",KA85R KM55R KM85R FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250 FS220 FS350 FS380 FS460,1,10,6.5,39169010,886661807109
0000-930-3617,74.78,1,"Fio corte red. Ø 2,4 mm x 87,0 m la",KA85R KM55R KM85R FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250 FS220 FS350 FS380 FS460,1,10,6.5,39169010,886661807116
0000-930-3618,173.73,1,"Fio corte red. Ø 2,4 mm x 261,0 m la",KA85R KM55R KM85R FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250 FS220 FS350 FS380 FS460,1,10,6.5,39169010,886661807123
0000-930-3619,410.18,1,"Fio corte red. Ø 2,4 mm x 688,0 m la",FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250 FS220 FS350 FS380 FS460,1,10,6.5,39169010,886661807130
0000-930-3620,13.95,1,"Fio corte red. Ø 2,7 mm x 10,9 m vm",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,1,10,6.5,39169010,886661807147
0000-930-3621,70.07,1,"Fio corte red. Ø 2,7 mm x 72,0 m vm",FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,1,10,6.5,39169010,886661807154
