codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0000-881-7100,2.48,50,Embalagem de limas,Embalagem de papel para armazenagem individual de limas redondas e chata,5,0,9.75,48195000,795711178093
0420-960-0002,21.0,10,Chaveiro motosserista,,1,10,9.75,39269090,886661907106
0420-960-0003,44.72,1,Chaveiro Motosserra,,1,10,9.75,39269090,886661937042
0421-100-2148,393.75,1,Jaqueta Tam. P PERFORMANCE cinza,,1,0,0.0,61043300,886661912629
0421-100-2152,393.75,1,Jaqueta Tam. M PERFORMANCE cinza,,1,0,0.0,61043300,886661913176
0421-100-2156,393.75,1,Jaqueta Tam. G PERFORMANCE cinza,,1,0,0.0,61043300,886661912513
0421-100-2234,393.75,1,Jaqueta Tam. XP Feminino PERFORMANCE,,1,0,0.0,61043300,886661913916
0421-100-2238,393.75,1,Jaqueta Tam. P Feminino PERFORMANCE,,1,0,0.0,61043300,886661913923
0421-100-2548,261.45,1,Casaco com capuz Tam. P STIHL preto,,1,0,0.0,61033200,886661968947
0421-100-2552,261.45,1,Casaco com capuz Tam. M STIHL preto,,1,0,0.0,61033200,886661968954
0421-100-2556,261.45,1,Casaco com capuz Tam. G STIHL preto,,1,0,0.0,61033200,886661968930
0421-100-2560,261.45,1,Casaco com capuz Tam. XG STIHL preto,,1,0,0.0,61033200,886661968978
0421-100-2748,695.18,1,Camisão Tam. P HERITAGE verde,,0,0,0.0,61033200,886661969104
0421-100-2752,695.18,1,Camisão Tam. M HERITAGE verde,,0,0,0.0,61033200,886661969128
0421-100-2756,695.18,1,Camisão Tam. G HERITAGE verde,,0,0,0.0,61033200,886661969135
0421-100-2760,695.18,1,Camisão Tam. XG HERITAGE verde,,0,0,0.0,61033200,886661969142
0421-222-1048,570.39,1,Calça de jardinagem Tam. P,,0,0,0.0,62034300,886661988693
0421-222-1052,570.39,1,Calça de jardinagem Tam. M,,1,0,0.0,62034300,886661988709
0421-222-1056,570.39,1,Calça de jardinagem Tam. G,,1,0,0.0,62034300,886661988716
0421-222-1060,570.39,1,Calça de jardinagem Tam. XG,,1,0,0.0,62034300,886661988723
0421-222-1134,570.39,1,Calça de jardinagem Tam. XP Feminino,,1,0,0.0,62046300,886661988754
0421-222-1138,570.39,1,Calça de jardinagem Tam. P Feminino,,1,0,0.0,62046300,886661988761
0421-222-1142,570.39,1,Calça de jardinagem Tam. M Feminino,,1,0,0.0,62046300,886661988778
0421-222-1146,570.39,1,Calça de jardinagem Tam. G Feminino,,1,0,0.0,62046300,886661988785
0421-222-1150,570.39,1,Calça de jardinagem Tam. XG Feminino,,1,0,0.0,62046300,886661988792
0421-300-2844,124.95,1,Camiseta Tam. XP MSA 300 preto,,1,0,0.0,61091000,886661768677
0421-300-2848,124.95,1,Camiseta Tam. P MSA 300 preto,,1,0,0.0,61091000,886661768684
0421-300-2852,124.95,1,Camiseta Tam. M MSA 300 preto,,1,0,0.0,61091000,886661768691
0421-300-2856,124.95,1,Camiseta Tam. G MSA 300 preto,,1,0,0.0,61091000,886661768660
0421-300-2860,124.95,1,Camiseta Tam. XG MSA 300 preto,,1,0,0.0,61091000,886661768714
0421-300-4548,303.18,1,Camiseta Tam. P CONTRA 59 cinza,,0,0,0.0,61091000,886661877591
0421-300-4552,303.18,1,Camiseta Tam. M CONTRA 59 cinza,,0,0,0.0,61091000,886661877614
0421-300-4556,303.18,1,Camiseta Tam. G CONTRA 59 cinza,,0,0,0.0,61091000,886661877584
0421-300-4560,303.18,1,Camiseta Tam. XG CONTRA 59 cinza,,0,0,0.0,61091000,886661877621
0421-300-5148,208.95,1,Camisa polo Tam. P ICON GREY cinza,,1,0,0.0,61051000,886661916337
0421-300-5152,208.95,1,Camisa polo Tam. M ICON GREY cinza,,1,0,0.0,61051000,886661916344
0421-300-5156,208.95,1,Camisa polo Tam. G ICON GREY cinza,,1,0,0.0,61051000,886661916320
0421-300-5160,208.95,1,Camisa polo Tam. XG ICON GREY cinza,,1,0,0.0,61051000,886661916924
0421-300-5348,208.95,1,Camisa polo Tam. P ICON BLUE azul,,1,0,0.0,61051000,886661919017
0421-300-5352,208.95,1,Camisa polo Tam. M ICON BLUE azul,,1,0,0.0,61051000,886661919208
0421-300-5356,208.95,1,Camisa polo Tam. G ICON BLUE azul,,1,0,0.0,61051000,886661919000
0421-300-5360,208.95,1,Camisa polo Tam. XG ICON BLUE azul,,1,0,0.0,61051000,886661919215
0421-300-7648,316.33,1,Camiseta Tam. P CONTRA 59 azul,,1,0,0.0,61091000,886661141579
0421-300-7652,316.33,1,Camiseta Tam. M CONTRA 59 azul,,0,0,0.0,61091000,886661141623
0421-300-7656,316.33,1,Camiseta Tam. G CONTRA 59 azul,,0,0,0.0,61091000,886661141586
0421-300-7660,316.33,1,Camiseta Tam. XG CONTRA 59 azul,,0,0,0.0,61091000,886661141593
0421-300-8048,270.85,1,Camiseta Tam. P MS 500i BACK preto,,0,0,0.0,61091000,886661142477
0421-300-8052,286.79,1,Camiseta Tam. M MS 500i BACK preto,,0,0,0.0,61091000,886661142538
0421-300-8056,270.85,1,Camiseta Tam. G MS 500i BACK preto,,0,0,0.0,61091000,886661142552
0421-300-8060,286.79,1,Camiseta Tam. XG MS 500i BACK preto,,0,0,0.0,61091000,886661142781
0421-600-0070,29.33,1,Chaveiro Abridor de garrafas,,0,10,0.0,82055100,886661881468
0421-600-0073,144.6,1,Xícara Manípulo de arranque,,0,0,0.0,69111090,886661881567
0421-600-0091,17.39,1,Clipes de papel Embalagem com 20 peças,,0,0,0.0,83059000,886661900312
0421-600-0103,371.86,1,Mochila STIHL CIRCLE,,0,0,0.0,42029200,886661902156
0421-600-0104,449.7,1,Sacola URBAN STYLE,,0,0,0.0,42029200,886661902163
0421-600-0119,142.65,1,Gorro FOREST cinza,,1,0,0.0,65050090,886661969234
0421-600-0184,302.09,1,Multitool Motosserra,,0,0,0.0,82119320,886661124008
0456-400-9902,1.09,1,Paineis de dados MS3 (velho) CE,,1,0,0.0,49111010,795711429751
0456-400-9904,1.77,1,Paineis de dados FS1 CE,,1,0,0.0,49111010,795711431174
0456-400-9906,1.76,1,Paineis de dados FS2 (velho) CE,,1,0,0.0,49111010,795711431181
0456-400-9908,1.76,1,Paineis de dado jogo BG/SH/BR/SR,,1,0,0.0,49111010,795711431198
