referencia,descricao,produtos,descricao_1,preco,observacao
1,HSA 26 SET 127V Podador de arbustos a bateria,HA03-011-3509,HSA 26 SET 127V Podador de arbustos a bateria,849.0,Produto acompanha bateria e carregador
2,HSA 26 SET 220V Podador de arbustos a bateria,HA03-011-3518,HSA 26 SET 220V Podador de arbustos a bateria,849.0,Produto acompanha bateria e carregador
3,HSA 26 Podador de arbustos a bateria,HA03-011-3503,HSA 26 Podador de arbustos a bateria,509.0,Bateria Recomendada: AS 2
4,GTA 26 SET Podador de galhos a bateria 127V,GA01-011-6913,GTA 26 SET Podador de galhos a bateria 127V,1159.0,Produto acompanha bateria e carregador
5,GTA 26 SET Podador de galhos a bateria 220V,GA01-011-6923,GTA 26 SET Podador de galhos a bateria 220V,1159.0,Produto acompanha bateria e carregador
6,FSA 45 Roçadeira a bateria,4512-011-5707,FSA 45 Roçadeira a bateria,649.0,Produto acompanha bateria e carregador
8,BGA 45 Soprador a bateria,4513-011-5907,BGA 45 Soprador a bateria,649.0,Produto acompanha bateria e carregador
24,RMA 460 Cortador de grama a bateria,6368-011-1402,RMA 460 Cortador de grama a bateria,2959.0,Bateria Recomendada: AK 30
25,RMA 460.0 V Cortador de grama a bateria,6368-011-1412,RMA 460.0 V Cortador de grama a bateria,3669.0,Bateria Recomendada: AK 30
28,RMA 370 Cortador de grama a bateria,6320-011-1453,RMA 370 Cortador de grama a bateria,-,Bateria Recomendada: AP 300
31,"MSA 161 T  Motosserra a bateria,30cm/12""",1252-200-0054,"MSA 161 T  Motosserra a bateria,30cm/12""",3199.0,Bateria Recomendada: AP 200
37,"HTA 86 1/4""P Moto-poda a bateria",LA03-200-0010,"HTA 86 1/4""P Moto-poda a bateria",3699.0,Bateria Recomendada: AP 300
38,KGA 770 Varredeira a bateria,4860-011-4703,KGA 770 Varredeira a bateria,-,Bateria Recomendada: AP 200
39,BGA 86 Soprador a bateria,BA02-011-5904,BGA 86 Soprador a bateria,1149.0,Bateria Recomendada: AP 300
41,HLA 66 Podador de altura a bateria,4859-011-2914,HLA 66 Podador de altura a bateria,2599.0,Bateria Recomendada: AP 200
42,SPA 65 Colhedor especial a bateria,4855-011-0700,SPA 65 Colhedor especial a bateria,3879.0,Bateria Recomendada: AP 300
1,,,,,
2,AK 10 Bateria,4520-400-6500,AK 10 Bateria,,
3,AK 20 Bateria,4520-400-6518,AK 20 Bateria,,
4,AK 30 Bateria,4520-400-6512,AK 30 Bateria,,
5,AP 200 Bateria,4850-400-6560,AP 200 Bateria,,
6,AP 300 Bateria,4850-400-6570,AP 300 Bateria,,
7,AP 300 S Bateria,4850-400-6580,AP 300 S Bateria,,
8,"AL 101, 127 V Carregador",4850-430-2529,"AL 101, 127 V Carregador",279.0,
9,"AL 101, 220 V Carregador",4850-430-2528,"AL 101, 220 V Carregador",279.0,
10,"AL 300, 127 V Carregador rápido de bateria",4850-430-5509,"AL 300, 127 V Carregador rápido de",,
11,"AL 300, 220 V Carregador rápido de bateria",4850-430-5508,"AL 300, 220 V Carregador rápido de",,
12,"AL 500, 127 V Carregador rápido de bateria",4850-430-5709,"AL 500, 127 V Carregador rápido de bateria",1249.0,
13,"AL 500, 220 V Carregador rápido de bateria",4850-430-5708,"AL 500, 220 V Carregador rápido de bateria",,
14,Bateria HSA 25,4515-400-6500,Bateria HSA 25,-,
15,Carregador HSA 25,4515-430-2508,Carregador,-,
16,Haste telescópica HSA 26,HA03-710-7100,Haste telescópica HSA 26,34166.0,
17,AS 2 Bateria,EA02-400-6500,AS 2 Bateria,189.0,
18,AL 1 - 127 V Carregador,EA03-430-2509,AL 1 - 127 V Carregador,189.0,
19,AL 1 - 220 V Carregador,EA03-430-2508,AL 1 - 220 V Carregador,189.0,
