unnamed_1,codigo_material,preco_real,qtde_min,descricao,modelo,comentario,s,t,ipi,classif_fiscal,codigo_barras
,4008-710-2102,11176.0,1.0,Cabeçote de corte PolyCut 2-2,FSA45,,1.0,10.0,52.0,84679900.0,886661367214.0
,4002-710-2198,1201.0,1.0,Cabeçote de corte TrimCut C 32-2,KA85R KM55R KM85R FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250,,6.0,10.0,52.0,84679900.0,886661948833.0
,4003-710-2122,13424.0,1.0,Cabeçote de corte TrimCut C 42-2,FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,,6.0,10.0,52.0,84679900.0,886661948840.0
,4009-710-2100,11601.0,1.0,Cabeçote de corte AutoCut C 3-2,FSA57,,1.0,10.0,52.0,84679900.0,886661895069.0
,4008-710-2100,17097.0,1.0,Cabeçote de corte AutoCut 2-2,FSA56,,1.0,10.0,52.0,84679900.0,795711961077.0
,4006-710-2121,8364.0,1.0,Cabeçote de corte AutoCut C 4-2,FSA65 FSA85,,1.0,10.0,52.0,84679900.0,795711417062.0
,4006-710-2126,8803.0,1.0,Cabeçote de corte AutoCut C 6-2,FS38 FSE60,,1.0,10.0,52.0,84679900.0,886661166466.0
,4004-710-2105,10526.0,1.0,Cabeçote de corte AutoCut 11-2,FS75 FE55,,1.0,10.0,52.0,84679900.0,795711043728.0
,4002-710-2169,11263.0,1.0,Cabeçote de corte AutoCut C 26-2,KA85R KM55R KM85R FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250,,1.0,10.0,52.0,84679900.0,886661166473.0
,4002-820-2302,1497.0,1.0,Cabeçote de corte AutoCut 27-2,FS55 FS55R FS80 FS85 FS120 FS131 FSFSA 135 FSKMA 135,,1.0,10.0,52.0,84679900.0,886661600113.0
,4003-710-2115,15658.0,1.0,Cabeçote de corte AutoCut 46-2,FS160 FS220 FS280 FS290 FS300 FS350 FS380 FS460,,6.0,10.0,52.0,84679900.0,886661168224.0
,4002-710-2162,11977.0,1.0,Cabeçote de corte SuperCut 20-2,KA85R KM55R KM85R FR85 FR220 E65 FS55 FS80 FS85 FS106 FS108 FS120 FS130 FS250,,1.0,10.0,52.0,84679900.0,795711043544.0
,4002-007-1000,3107.0,1.0,Jogo Lâmina (12 peças),"PolyCut 6-2, 28-2 e 48-2",,1.0,10.0,52.0,82084000.0,886661575930.0
,4008-007-1000,1849.0,1.0,Jogo Lâmina (8 peças),FSA45 FSA85,,1.0,10.0,52.0,82084000.0,886661389490.0
,6235-710-4305,5752.0,1.0,Carretel com rosca,Cj.corte nylon- FSE41,,1.0,10.0,52.0,84679900.0,795711112127.0
