codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
0000-000-0069,9291-021-0120,"Arruela 5,3x10x1",1996-05-22,
0000-000-0080,,,NaT,
0000-000-0112,5910-893-0506,Extrator de prisioneiro M10,NaT,
0000-000-0268,0812-390-1821,Chave de fenda,2005-08-06,
0000-000-0302,1108-129-1102,Junta de vedação,1987-12-10,
0000-120-1650,0000-120-1652,Filtro de ar HD,2010-07-30,
0000-120-1652,0000-120-1654,Filtro de ar HD,2012-06-09,
0000-190-3400,0000-190-3403,"Manípulo ElastoStart Ø 2,7 mm",1998-11-30,
0000-190-3408,0000-190-3414,Manípulo de arranque,2007-06-26,
0000-350-0502,0000-350-0514,Tampa do tanque de combustível,2013-03-27,
0000-350-0512,0000-350-0510,Tampa do tanque,1992-10-20,
0000-350-0522,0000-350-0520,Tampa do tanque,1995-05-29,
0000-350-0530,0000-350-0503,Tampa do tanque,2007-10-20,
0000-350-3520,0000-350-3502,Cabeçote de aspiração,1998-12-18,
0000-353-1601,1110-353-1600,Válvula,2000-02-04,
0000-359-1230,0000-359-1202,Anel de vedação,2007-10-20,
0000-359-1202,0000-359-1203,Anel de vedação,2006-12-05,
0000-400-1301,0000-400-1306,Módulo de ignição,1997-10-15,
0000-400-1302,0000-400-1306,Módulo de ignição,1997-10-15,
0000-790-6101,1124-792-5500,Bucha,1996-05-15,
,1124-792-5505,Bucha,1996-05-15,
,9022-341-1090,Parafuso IS-M5x40,1996-05-15,
0000-400-1303,0000-400-1305,Módulo de ignição,2010-07-30,
0000-400-1305,0000-400-1300,Módulo de ignição,1998-03-17,
0000-400-7004,0000-400-7000,Vela de ignição,1990-03-30,
0000-642-1221,0000-642-1223,"Rolete do pinhão 3/8"" 7d",1997-10-21,
0000-884-0301,0000-884-0307,Óculos de proteção,2012-09-12,
0000-886-1411,0000-884-0307,Óculos de proteção,2012-09-12,
0000-890-1711,0000-890-1701,Kit ferramentas especiais,2004-12-10,
0000-890-2300,0000-890-2305,Chave de fenda aço SAE1045,2017-01-19,
0000-930-2205,0000-930-2243,"Fio corte redondo Ø 2,4 mm x 15,3 m",2014-12-20,
0000-930-2217,0000-930-2300,"Fio corte red/ Ø 2,0 mm x 15,3 m vd",2017-09-15,
0000-930-2224,0000-930-2306,"Fio corte red/ Ø 2,7 mm x 72,0 m vm",2017-09-15,
0000-930-2243,0000-930-2302,"Fio corte red/ Ø 2,4 mm x 15,3 m la",2017-09-15,
,0000-930-2304,"Fio corte red/ Ø 2,4 mm x 261,0 m la",2017-09-15,
0000-930-2218,0000-930-2305,"Fio corte red/ Ø 2,7 mm x 10,9 m vm",2017-09-15,
0000-930-2515,0000-930-2300,"Fio corte red/ Ø 2,0 mm x 15,3 m vd",2017-09-15,
0000-951-3500,0000-790-6103,Parafuso combinado M5,1997-05-15,
1122-791-7200,,,NaT,
0000-951-5800,1120-358-8105,Elemento do respiro do tanque de aço,1987-01-20,
0000-953-0805,1125-122-6600,Parafuso de aço com colar,1997-10-14,
0000-955-0804,0000-955-0801,Porca sextavada M8,1997-05-28,
0000-958-0402,0000-958-0406,Arruela,1997-01-21,
0000-958-6511,4314-007-1054,Jogo de parafusos,2009-11-10,
0000-958-0900,1118-162-8935,"Arruela 10,1x17x0,4",1997-01-24,
0000-958-1009,0000-958-1022,Arruela Ø 27 mm,2011-05-25,
0000-958-1226,0000-958-1231,"Arruela 12x30x2,4",1988-05-19,
0000-967-1530,1111-967-1508,Plaqueta de identificação 051,1997-09-23,
0000-967-2020,0000-967-2018,Logotipo STIHL,2014-04-15,
0000-967-2128,0000-967-2043,Logotipo Stihl,2014-07-29,
0000-974-0506,0000-974-0503,Rebite,1997-11-10,
0000-989-0801,0000-989-0816,Passador,1994-03-22,
0000-989-5215,0000-937-4049,Mangueira 1000 mm,2007-01-08,
0000-993-3008,9512-933-4030,Gaiola de agulhas 15x18x17,1997-01-27,
0000-997-0721,0000-958-0611,"Arruela 6,1x8,5x0,5",1997-01-21,
,0000-997-0621,Mola helicoidal,2010-08-02,
0000-997-1029,0000-997-6205,Mola de tração,1999-02-04,
0000-997-1315,0000-997-1335,Mola de pressão,1997-05-28,
0452-208-2523,0452-532-2523,Lista peças de reposição MS250 BR-E-GB,2015-07-11,
,0452-530-2523,Lista peças de reposição MS210 BR-E-GB,2015-05-21,
0455-392-1223,0455-935-1223,Instr/ rep/ Motor de base4137 P,2015-05-21,
