codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras,ferramentas_basicas_para_oficina
0000-850-1300,1654.22,1,Bomba,MS08 MS034 MS362 MS382 MS038 MS051 MS076 HS45 BR430 HT70K TS800 FS300 FS350 FS380 FS460 FSBG SH56 KA120 BG50 HT133,1,0,3.25,84132000,795711660222,Ferramenta Básica
0000-855-8106,5.59,5,Placa de vedação,MS08 MS034 MS038,1,10,11.7,40169990,795711480028,
0000-855-8107,5.77,3,Placa de vedação,MS362,1,10,11.7,40169990,795711480417,
0000-855-9200,32.9,1,Nípel,HS45 HS80 PC70 PC75 BT130 BR430 HT70K TS800 MS362 MS382 FS300 FS350 FS380 FS460 FSBG SH56 KA120 BG50 HT133,1,10,3.25,74122000,795711480424,
0000-855-9201,111.28,1,Nípel,Verificar estanqueidade do carburador,1,10,3.25,74122000,795711971007,
0000-881-1957,729.0,1,Machado florestal AX 16 S,Uso: possui um reforço metálico para proteger o cabo contra impactos,1,10,0.0,82014000,795711379940,
0000-881-2710,99.0,1,Gancho,Alavancas de derrubada - 130cm e 80cm,1,10,0.0,82019000,795711003197,
0000-881-4500,36.33,1,Cabo de lima com ângulos de afiação,Limas redonda e chata,1,10,9.75,39269090,795711004088,
0000-881-4502,39.01,1,Cabo da lima FH1,Limas redonda,1,10,9.75,39269090,795711162702,
0000-881-4503,39.01,1,Cabo da lima FH3,Lima chata,1,10,9.75,39269090,795711162719,
0000-890-1701,2514.78,1,Conjunto ferramentas de teste,,1,10,0.0,90262010,795711320508,Ferramenta Básica
0000-890-2201,117.0,1,Ferramenta de montagem,MS08 MS025 MS034 MS036 MS362 MS382 MS038 MS039 MS051 MS066 MS076 TS800P835 TS840 FS44 FS86 FS106 FS220 FS460 FR106 FR108 E14 MS361 BR430,1,10,5.2,82055900,795711437817,
0000-890-2300,7.4,5,Chave de fenda,BT121 MS025 MS250 MS039 MS382 MS390 MS046 MS066 MS650 FS44 FS86 FS88 FS106 FS108 FS120 FS160 FS220 FS280 FS460 FR106 FR108 KM55 PC70 HS82R MSA160T HTA85 KA120 HT133 RE90 RE110,1,10,5.2,82054000,795711155582,Ferramenta Básica
0000-890-2300,7.4,5,Chave de fenda,BT121 MS025 MS250 MS039 MS382 MS390 MS046 MS066 MS650 FS44 FS86 FS88 FS106 FS108 FS120 FS160 FS220 FS280 FS460 FR106 FR108 KM55 PC70 HS82R MSA160T HTA85 KA120 HT133 RE90 RE95 RE95 RE110,1,10,5.2,82054000,795711155582,
0000-890-3402,34.51,1,Chave combinada,MS193T HT133,1,10,5.2,82054000,795711697983,
0000-890-3700,42.56,1,Garra,FS460,1,10,5.2,82055900,795711439101,
0000-890-6400,26.67,3,Calibrador de corrente,FS460,1,0,3.25,90318099,795711865542,
0000-890-6401,110.19,1,Calibrador de corrente,MS038 MS051 MS076 MS362 MS382 TS800 FS460,1,10,0.0,90173090,886661246076,Ferramenta Básica
0000-893-2401,76.44,1,Luva de montagem,TS420 FS460,1,10,5.2,82055900,886661156993,
0000-893-2600,10.15,1,Cinto Anel,MS08 MS034 MS362 MS382 MS038 MS051 MS076 PC70 PC75 HT70K TS800 FS300 FS350 FS380 FS460 HS82R KA120 BG50,1,10,5.2,82055900,795711437824,Ferramenta Básica
