unnamed_2,unnamed_3,unnamed_4,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabre,s,t,ipi,ncm_classif_fiscal,cod_barras,unnamed_21
,,,GA04-011-6903,1999,GTA 40.0 Cortador de Galhos a bateria,1,-,Não acompanha bateria ou carregador,-,21.6,15,1,10,5.2,84672999,795711948818,
,,,GA04-011-6913,3499,GTA 40.0 SET 127V Cortador de galhos a bateria,1,-,Não acompanha bateria ou carregador,,,,1,10,5.2,84672999,795711948917,
,,,GA04-011-6923,3499,GTA 40.0 SET 220V Cortador de galhos a bateria,1,-,Não acompanha bateria ou carregador,,,,1,10,5.2,84672999,795711948962,
,,,WA32-011-1430,4189,RMA 353.0 V Cortador de grama a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,25-100,1,0,3.25,85081100,886661738922,
,,,WA32-011-1410,3159,RMA 353.0 Cortador de grama a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,25-100,1,0,3.25,85081100,886661737352,
,,,SA04-011-7305,1899,SEA 60.0 L Aspirador a bateria,1,450,190,"Lavável
Filtro Papel
Filtro Espuma",12 L sólidos e 9 L líquidos,AK 20,1,10,6.5,85081100,886661036486,
,,,SA04-011-7315,2299,SEA 100.0 L Aspirador a bateria,1,500,210,"Lavável
Filtro Papel
Filtro Espuma",12 L sólidos e 9 L líquidos,AP 200 S,1,10,6.5,85081100,886661247493,
,,,GA08-011-8000,329,PS 1.0 abastecimento de energia portátil,1,10.8,2.5,"0,15/0,35",Corrênte máxima [A] 3 Potência máxima [W] 30,Corrênte máxima [A] 3 Potência máxima [W] 22,1,10,5,85044010,886661806836,
,,,4864-011-6620,4499,TSA 230.1 Cortador a disco a bateria,1,EC,2.1,1.6,3.9,20,1,10,5.2,84672999,886661733552,
,,,4950-011-4538,2399,RE 110 PLUS 127 V Lavadora de alta,1,440/510,130/140,95/100,"1,6/1,7",Indução,1,10,0,84243010,198520016240,
,,,4950-011-4539,2399,RE 110 PLUS 220 V Lavadora de alta,1,,,,,,1,10,0,84243010,198520016257,
,,,RA02-011-7605,1249,RCA 20.0 Lavadora de pressão a bateria,1,230 (sem bico de pressão),24,84,AS 2,"1,3 / 1,52",1,10,0,84243010,886661045754,
,,,RA02-011-7617,1699,RCA 20.0 SET Lavadora de pressão a bateria,1,,,,,,1,10,0,84243010,886661045877,
,,,RA02-011-7618,1699,RCA 20.0 SET Lavadora de pressão a bateria,1,,,,,,1,10,0,84243010,886661045884,
,,,BA05-011-5900,899,BGA 50.0 Soprador a bateria,1,AK 20,770,46,20,2.2,1,10,0,84145990,886661311132,
,,,BA05-011-5915,1899,"BGA 50.0 SET Soprador a bateria, 220V",1,,,,,,1,10,0,84145990,886661422296,
,,,BA05-011-5916,1899,"BGA 50.0 SET Soprador a bateria, 127V",1,,,,,,1,10,0,84145990,886661422302,
,,,RA01-011-7605,1899,REA 60.0 PLUS Lavadora de alta pressão a bateria,1,270,130,100,AK 30 / 30S,EC,1,10,0,84243010,795711369415,
,,,RA01-011-7615,2399,REA 100.0 PLUS Lavadora de alta pressão,1,300,150,125,AP 300 S,EC,1,10,0,84243010,795711369477,
,,,VA05-011-6200,1619,ASA 20.0 Tesoura de poda a bateria,1,AS,240,"0,76 / 0,98",25,DC,1,0,5.2,84672910,886661292127,
,,,BA08-011-5900,699,BGA 30.0 Soprador a bateria,1,AS 2,430,43,8-25,1.5,1,10,0,84145990,886661879212,
,,,BA08-011-5919,1099,"BGA 30.0 SET Soprador a bateria, 127V",1,AS 2 - Acompanha 2 baterias,,,,,1,10,0,84145990,886661882014,
,,,BA08-011-5920,1099,"BGA 30.0 SET Soprador a bateria, 220V",1,,,,,,1,10,0,84145990,886661255412,
,,,MA02-200-0047,5999,MSA 300.0 C-O Motosserra à bateria,1,AP 500 S,Não acompanha bateria ou carregador,-,"4,5 /6,4",45,8,10,5.2,84672200,886661507306,
,,,MA02-200-0049,6009,MSA 300.0 C-O Motosserra à bateria,1,,,,,50,5,10,5.2,84672200,886661508150,
,,,GB06-011-7401,3459,"GR 40.0 Gerador, 110/220V",1,"2,5 kW/ 1,25 Kw","2,8 kW / 1,4 Kw","220 V / 60 Hz
Monofásico e 110 V / 60 Hz
Monofásico",15 L / ,38,1,0,0,85022011,886661007080,
,,,GB07-011-7401,6299,"GR 60.0 Gerador, 127/220V",1,"5,0 kW / 4,4 Kw","5,5 kW / 4,9 kW",220 V / 60Hz Trifásico  e 127 V / 60 Hz Monofásico,25 L ,72.5,1,0,0,85022011,886661007127,
,,,GB07-011-7402,6299,"GR 60.0 Gerador, 220/380V",1,,"5,5 kW / 4,8 kW","380 V / 60 Hz
Trifásico e 220 V / 60 Hz
Monofásico",,,1,0,0,85022011,886661416400,
,,,GB08-200-0000,7659,GR 80.0 127/220V Gerador,1,"7,3 kW / 6,0 Kw","8,0 kW / 6,6 kW","220 V / 60 Hz
Trifásico e 127 V / 60 Hz
Monofásico",25 L ,91,1,0,0,85022011,886661999156,
,,,GB08-200-0001,7659,GR 80.0 220/380V Gerador,1,"7,3 kW / 5,9 kW","8,0 kW / 6,5 kW","380 V / 60 Hz
Trifásico e 220 V / 60 Hz
Monofásico",,,1,0,0,85022011,886661999163,
,,,MB01-200-0059,3999,"MS 363.0 Motosserra,40cm/16"",36RS",1,62.6,311,634,3.5,5.5,5,10,5.2,84678100,886661660742,
,,,MB01-200-0060,4119,"MS 363.0 Motosserra,50cm/20"",36RS",1,,,,,,0,10,5.2,84678100,886661660780,
,,,MB01-200-0061,3939,"MS 363.0 Motosserra,40cm/16"",36RS",1,,,,,,0,10,5.2,84678100,886661660803,
,,,MB01-200-0062,3979,"MS 363.0 Motosserra,50cm/20"",36RS",1,,,,,,0,10,5.2,84678100,886661662494,
,,,BA03-011-5910,4299,BGA 300.1 Soprador a bateria,1,AP,970,86,58 usando duas baterias AP 500,7.4,1,10,0,84145990,886661113873,
,,,6909-400-4300,2289,Adaptador para compartimento duplo da ba,1,,-,-,não acompanha as baterias AP.,,1,10,3.25,84149020,795711995195,
,,,SA02-011-7100,1649,SHA 56 Trituradora de aspiração a bateria,1,AK  20,"3,2 (soprador) 4,2 (aspirador)",,25,,1,0,6.5,85081900,886661624492,
,,,7030-319-0001,285.55,Lubrificante STIHL 8017H 4L,4,Motores a combustão,,,208,620502001,0,10,0,27101932,886661711062,
,,,7030-319-0002,93.5,Óleo de corrente STIHL Magnum 4L,4,Lubrificação de correntes e conjuntos de corte,,,,620601004,0,10,0,27101932,886661711079,
,,,FA10-011-5705,869,FSA 30.0 Roçadeira a bateria,1,AS 2,-,10.8,Polycut 3-2,2.1,1,10,5.2,84672999,886661390816,
,,,FA10-011-5717,1209,FSA 30.0 SET Roçadeira a bateria,1,,127V,,Polycut 3-2,2.4,1,10,5.2,84672999,886661392780,
,,,FA10-011-5718,1209,FSA 30.0 SET Roçadeira a bateria,1,,220V,,Polycut 3-2,2.4,1,10,5.2,84672999,886661393145,
,,,LA01-200-0004,4589,"HTA 135 Moto-poda a bateria,30cm/12""",1,EC sem escovas,36,1500,1150,6.8,1,10,5.2,84672200,886661563975,
,,,1148-200-0249,1199,"MS 162 Motosserra,61PMM3",1,30.1,280,396,1.3,4.5,1,10,5.2,84678100,795711989866,
,,,1148-200-0244,1399,"MS 172 Motosserra,35cm/14"",61PMM3",1,31.8,280,396,1.5,4.5,1,10,5.2,84678100,795711985431,
,,,1148-200-0245,1498.99,"MS 172 C-BE Motosserra,35cm/14"",61PMM3",1,31.8,280,396,1.5,4.8,1,10,5.2,84678100,795711985455,
