unnamed_2,codigo_material,preco_real,qtde_min,item,descricao,s,t,ipi,classif_fiscal,codigo_barras
,0463-902-0184,97.65,1,Banner Bem-vindos,"Banner 90x120cm produzido em lona, em impressão digital, com barra de madeira e corda para pendurar.",0,0,0,39219019,886661621279
,0463-902-0183,97.65,1,Banner Stihl,"Banner 90x120cm produzido em lona, em impressão digital, com barra de madeira e corda para pendurar.",0,0,0,39219019,886661621200
,0463-902-0193,55.65,1,Balões STIHL,25 balões branco e 25 balões laranja Impressoes frente e verso. Produzido em borracha.,0,0,0,95059000,886661622054
,0463-902-1194,1.58,50,Sacola camiseta,"Sacola de plástico tamanho 41 X 56 cm espessura 0,015 oxibiodegradável",0,0,0,39232910,886661621330
,0463-902-0187,3.26,50,Sacola alça vazada plástico,"Sacola de plástico tamanho 30 X 55 cm expessura 0,005 oxibiodegradável.",0,0,0,39232910,886661621316
,7030-871-0055,2.6,50,Sacola Alça Vazada Plástico Pequena,,,,,39232910,886661440832
,0463-902-0186,9.98,50,Sacola média de papel,"Sacola - Ilhós Sacola Stihl Ferramentas - 44,5x32,5x12cm - em Reciclato 180 g/m2, c/ Ilhós branco.",0,0,0,49119900,886661621309
,0463-902-0185,12.29,50,Sacola grande de papel,"Sacola - Ilhós Sacola Stihl - 40x57x13cm - Faces Diferentes - em Reciclato 180 g/m2, c/ Ilhós branco,",0,0,0,49119900,886661621286
,0463-902-1195,6.91,50,Sacola para presente,"Sacola c/fundo Sacola Boca Vazada Stihl - 30x20x10cm - em Triplex 250 g/m2,",0,0,0,49119900,886661621347
,0463-301-0020,934.5,1,Kit estrutura e bandeira STIHL,Haste em metal para colocação do tecido e bandeira com logo estampado. ,1,0,0,63079090,795711945084
,0463-301-9999,336,1,Bandeira STIHL,Bandeira em tecido com logo estampado. Medida aproximada: 90x280cm,1,0,0,63079090,886661012589
,0463-902-2238,3.29,30,Bala motosserra gelatina,,0,0,0,17049090,886661519941
,0464-201-0010,18.9,1,Pacote de balas de iogurte 900g,,0,0,0,17049020,795711267544
,7030-871-0064,15.05,1,Bala de maçã-verde 900g,,0,0,0,17049090,886661494071
,0463-902-1251,315,1,Fita isolamento de área STIHL,"Bobina de fita plástica (não adesiva) para isolamento de área - 14,5 CM x 0,02 CM x 203 M",0,10,0,39201010,886661622061
,0463-902-0270,155.94,1,Imantado para mobiliário - imagem BR,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661621729
,0463-902-0271,155.94,1,Imantado para mobiliário - imagem BT,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661621736
,0463-902-0272,155.94,1,Imantado para mobiliário - imagem FS,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661621750
,0463-902-0273,155.94,1,Imantado para mobiliário - imagem HS,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661621903
,0463-902-0274,155.94,1,Imantado para mobiliário - imagem MS,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661621910
,0463-902-0275,155.94,1,Imantado para mobiliário - imagem RE,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661621934
,0463-902-0276,155.94,1,Imantado para mobiliário - imagem SP,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661622016
,0463-902-0277,155.94,1,Imantado para mobiliário - imagem SR,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661622023
,0463-902-0278,155.94,1,Imantado para mobiliário - imagem TS,"COUCHE IMPORT BRILHO 300G, AMINAÇÃO BRILHO - MANTA MAGNÉTICA NO VERSO 0,3MM - 99x40cm Para aplicação em mobiliário padrão STIHL",0,0,0,85051990,886661622030
,0463-902-0074,116.69,1,Coletor de Baterias,Linha Prod. Bateria,0,0,0,48191000,886661024162
,0463-902-0189,65.1,2,Cubo grande logo STIHL,"Cubo de papelão 0,45 X 0,45.
Impresso em todos os lados apenas com logo STIHL;
Possui colmeia de papelão interna para melhor estabilidade e suporte do peso. ",0,0,0,49111090,886661621484
,0463-902-5002,7.09,1,Precificador de produto MSA 120 CBQ,MSA120,0,0,0,49119900,886661680504
,0463-902-5003,7.09,1,Precificador de produto MSA 140 CBQ,MSA140,0,0,0,49119900,886661680511
,0463-902-5004,7.09,1,Precificador de produto MSA 160 CBQ,MSA160,0,0,0,49119900,886661680542
,0463-902-5005,7.09,1,Precificador de produto MSA 161  T,MSA161T,0,0,0,49119900,886661680733
,0463-902-5006,7.09,1,Precificador de produto MSA 200 CBQ,MSA200,0,0,0,49119900,886661680764
,0463-902-5007,7.09,1,Precificador de produto MSA 220 CB,MSA220,0,0,0,49119900,886661680788
,0463-902-5008,7.09,1,Precificador de produto MSE 141 CQ,MSE141,0,0,0,49119900,886661680818
,0463-902-5009,7.09,1,Precificador de produto SE 33,SE33,0,0,0,49119900,886661680832
,0463-902-5012,7.09,1,Precificador de produto MS 180 CBE,MS180CBE,0,0,0,49119900,886661680900
,0463-902-5013,7.09,1,Precificador de produto MS 194 T,,0,0,0,49119900,886661680931
,0463-902-5014,7.09,1,Precificador de produto MS 210,,0,0,0,49119900,886661680948
,0463-902-5015,7.09,1,Precificador de produto MS 230,,0,0,0,49119900,886661680962
,0463-902-5016,7.09,1,Precificador de produto MS 250,,0,0,0,49119900,886661681044
,0463-902-5017,7.09,1,Precificador de produto MS 260,,0,0,0,49119900,886661681068
,0463-902-5018,7.09,1,Precificador de produto SH 56,,0,0,0,49119900,886661681112
,0463-902-5019,7.09,1,Precificador de produto MS 310,,0,0,0,49119900,886661681143
,0463-902-5020,7.09,1,Precificador de produto MS 361,,0,0,0,49119900,886661681167
,0463-902-5021,7.09,1,Precificador de produto MS 362 CM,,0,0,0,49119900,886661681181
,0463-902-5022,7.09,1,Precificador de produto MS 382,,0,0,0,49119900,886661681242
,0463-902-5023,7.09,1,Precificador de produto MS 462,,0,0,0,49119900,886661681259
,0463-902-5024,7.09,1,Precificador de produto MS 651,,0,0,0,49119900,886661681266
,0463-902-5025,7.09,1,Precificador de produto MS 661,,0,0,0,49119900,886661681273
,0463-902-5026,7.09,1,Precificador de produto FSA 45,,0,0,0,49119900,886661681303
,0463-902-5028,7.09,1,Precificador de produto FSA 65,,0,0,0,49119900,886661681327
,0463-902-5029,7.09,1,Precificador de produto FSA 85,,0,0,0,49119900,886661681334
,0463-902-5030,7.09,1,Precificador de produto FSE 41,,0,0,0,49119900,886661681341
,0463-902-5031,7.09,1,Precificador de produto FSE 60,,0,0,0,49119900,886661681358
,0463-902-5032,7.09,1,Precificador de produto FS 38,,0,0,0,49119900,886661681365
,0463-902-5033,7.09,1,Precificador de produto FS 55,,0,0,0,49119900,886661681402
,0463-902-5034,7.09,1,Precificador de produto FS 55 R,,0,0,0,49119900,886661681389
,0463-902-5035,7.09,1,Precificador de produto FS 80,,0,0,0,49119900,886661681419
,0463-902-5036,7.09,1,Precificador de produto FS 85,,0,0,0,49119900,886661681426
,0463-902-5037,7.09,1,Precificador de produto FS 120,,0,0,0,49119900,886661681433
,0463-902-5038,7.09,1,Precificador de produto FS 131,,0,0,0,49119900,886661681440
,0463-902-5039,7.09,1,Precificador de produto FS 160,,0,0,0,49119900,886661681457
,0463-902-5040,7.09,1,Precificador de produto FS 220,,0,0,0,49119900,886661681464
,0463-902-5041,7.09,1,Precificador de produto FS 290,,0,0,0,49119900,886661681471
,0463-902-5042,7.09,1,Precificador de produto FS 300,,0,0,0,49119900,886661681488
,0463-902-5043,7.09,1,Precificador de produto FS 350,,0,0,0,49119900,886661681501
,0463-902-5044,7.09,1,Precificador de produto FS 380,,0,0,0,49119900,886661681518
,0463-902-5045,7.09,1,Precificador de produto FR 220,,0,0,0,49119900,886661681525
,0463-902-5046,7.09,1,Precificador de produto KA 85 R,,0,0,0,49119900,886661681532
,0463-902-5047,7.09,1,Precificador de produto RMA 370,,0,0,0,49119900,886661681549
,0463-902-5048,7.09,1,Precificador de produto RMA 460,,0,0,0,49119900,886661681556
,0463-902-5049,7.09,1,Precificador de produto RMA 460 V,,0,0,0,49119900,886661681563
,0463-902-5050,7.09,1,Precificador de produto RMA 510,,0,0,0,49119900,886661681570
,0463-902-5051,7.09,1,Precificador de produto RMA 510 V,,0,0,0,49119900,886661681587
,0463-902-5052,7.09,1,Precificador de produto GTA 26,,0,0,0,49119900,886661681600
,0463-902-5053,7.09,1,Precificador de produto HSA 26,,0,0,0,49119900,886661681617
,0463-902-5054,7.09,1,Precificador de produto HSA 45,,0,0,0,49119900,886661681624
,0463-902-5055,7.09,1,Precificador de produto HSA 56,,0,0,0,49119900,886661681631
,0463-902-5056,7.09,1,Precificador de produto HSA 66,,0,0,0,49119900,886661681648
,0463-902-5057,7.09,1,Precificador de produto HSE 52,,0,0,0,49119900,886661681655
,0463-902-5058,7.09,1,Precificador de produto HSE 61,,0,0,0,49119900,886661681662
,0463-902-5059,7.09,1,Precificador de produto HS 45,,0,0,0,49119900,886661681679
,0463-902-5060,7.09,1,Precificador de produto HS 82R,,0,0,0,49119900,886661681686
,0463-902-5061,7.09,1,Precificador de produto HLA 66,,0,0,0,49119900,886661681709
,0463-902-5062,7.09,1,Precificador de produto HLA 56,,0,0,0,49119900,886661680498
,0463-902-5063,7.09,1,Precificador de produto HTA 85,,0,0,0,49119900,886661680528
,0463-902-5064,7.09,1,Precificador de produto HT 70 K,,0,0,0,49119900,886661680559
,0463-902-5065,7.09,1,Precificador de produto HT 75,,0,0,0,49119900,886661680740
,0463-902-5067,7.09,1,Precificador de produto BGA 45,,0,0,0,49119900,886661680771
,0463-902-5068,7.09,1,Precificador de produto BGA 57,,0,0,0,49119900,886661680795
,0463-902-5069,7.09,1,Precificador de produto BGA 86,,0,0,0,49119900,886661680825
,0463-902-5070,7.09,1,Precificador de produto BGE 71,,0,0,0,49119900,886661680849
,0463-902-5071,7.09,1,Precificador de produto BG 50,,0,0,0,49119900,886661680863
,0463-902-5072,7.09,1,Precificador de produto BG 56,,0,0,0,49119900,886661680887
,0463-902-5073,7.09,1,Precificador de produto BG 86 CE,,0,0,0,49119900,886661680917
,0463-902-5074,7.09,1,Precificador de produto BR 420,,0,0,0,49119900,886661680924
,0463-902-5075,7.09,1,Precificador de produto BR 430,,0,0,0,49119900,886661680955
,0463-902-5076,7.09,1,Precificador de produto BR 600,,0,0,0,49119900,886661680979
,0463-902-5077,7.09,1,Precificador de produto BR 800,,0,0,0,49119900,886661680986
,0463-902-5078,7.09,1,Precificador de produto SG 11,,0,0,0,49119900,886661681013
,0463-902-5079,7.09,1,Precificador de produto SG 20,,0,0,0,49119900,886661681020
,0463-902-5080,7.09,1,Precificador de produto SG 31,,0,0,0,49119900,886661681051
,0463-902-5081,7.09,1,Precificador de produto SG 71,,0,0,0,49119900,886661681075
,0463-902-5082,7.09,1,Precificador de produto SR 420,,0,0,0,49119900,886661681105
,0463-902-5083,7.09,1,Precificador de produto SR 430,,0,0,0,49119900,886661681129
,0463-902-5084,7.09,1,Precificador de produto SR 450,,0,0,0,49119900,886661681136
,0463-902-5085,7.09,1,Precificador de produto KM 85R,,0,0,0,49119900,886661681150
,0463-902-5086,7.09,1,Precificador de produto KA 120 R,,0,0,0,49119900,886661681174
,0463-902-5089,7.09,1,Precificador de produto RE 110,,0,0,0,49119900,886661681228
,0463-902-5090,7.09,1,Precificador de produto RE 143,,0,0,0,49119900,886661681716
,0463-902-5091,7.09,1,Precificador de produto RE 232,,0,0,0,49119900,886661681723
,0463-902-5092,7.09,1,Precificador de produto KGA 770,,0,0,0,49119900,886661681730
,0463-902-5093,7.09,1,Precificador de produto RE 150,,0,0,0,49119900,886661681747
,0463-902-5094,7.09,1,Precificador de produto BT 45,,0,0,0,49119900,886661681754
,0463-902-5095,7.09,1,Precificador de produto BT 131,,0,0,0,49119900,886661681761
,0463-902-5096,7.09,1,Precificador de produto TSA 230,,0,0,0,49119900,886661681778
,0463-902-5097,7.09,1,Precificador de produto TS 420,,0,0,0,49119900,886661681785
,0463-902-5098,7.09,1,Precificador de produto TS 800,,0,0,0,49119900,886661681808
,0463-902-5099,7.09,1,Precificador de produto FW 20,,0,0,0,49119900,886661681815
