codigo_dos_rolos_de_corrente_conforme_o_modelo_da_corrente,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,codigo_rolo,no_de_elos_por_rolo,no_de_dentes_por_rolo,ft_pes,metros
"Corrente 3 8"" Picco Micro Confort",,,,,,3613-000-1640,1640.0,820.0,100.0,3048.0
"Corrente 0.325"" Rapid Super",,,,,,3639-000-1840,1840.0,920.0,100.0,3048.0
"Corrente 3 8"" Picco Micro Mini",,,,,,3610-000-1640,1640.0,820.0,100.0,3048.0
"Corrente 3 8"" Rapid Micro Oilomatic",,,,,,3652-000-1640,1640.0,820.0,100.0,3048.0
"Corrente 3 8"" Rapid Super Oilomatic",,,,,,3621-000-1640,1640.0,820.0,100.0,3048.0
Corrente 36 RMX Rapid Micro Oilomatic,,,,,,3653-000-1640,1640.0,820.0,100.0,3048.0
Corrente 35 RM Rapid Micro Oilomatic,,,,,,3651-000-1640,1640.0,820.0,100.0,3048.0
Corrente 36 RH Rapid Hexa Oilomatic,,,,,,3132-000-1640,1640.0,820.0,100.0,3048.0
71 PM3 1200 Picco Micro Rolo de corrente,,,,,,3670-000-1200,1200.0,600.0,50.0,1524.0
63 PM3 Picco Micro Rolo de corrente,,,,,,3636-000-1640,1640.0,820.0,100.0,3048.0
GTA 26,10.0,LIGHT,3007-003-0101,3670-000-0028,PM3,42.85,28.0,14.0,1167.0,36.0
MSE 141,30.0,ROLLO,3005-000-3905,3610-000-0044,PMM3,37.2,44.0,22.0,2682926829268293.0,8177560975609757.0
MSE 170,30.0,ROLLO,3005-000-4805,3613-000-0044,PM,Corrente montada,44.0,22.0,2666666666666667.0,8128.0
MSA 120,30.0,ROLLO,3005-008-3405,3670-000-0064,PM3,18.75,64.0,32.0,2666666666666667.0,8128.0
MSA 140,30.0,ROLLO,3005-008-3405,3670-000-0064,PM3,18.75,64.0,32.0,2666666666666667.0,8128000000000001.0
MSA 160,30.0,ROLLO,3005-008-3405,3670-000-0064,PM3,18.75,64.0,32.0,2666666666666667.0,8128000000000001.0
MSA 200,35.0,ROLLO,3005-008-3409,3670-000-0072,PM3,16.66,72.0,36.0,3.0,9144000000000000.0
MSA 220,35.0,ROLLO,3005-000-4809,3616-000-0050,PS3,Corrente montada,50.0,25.0,305.0,93.0
MS 162,30.0,LIGHT,3005-008-4905,3610-000-0044,PMM3,37.2,44.0,22.0,2683.0,82.0
MS 170,30.0,ROLLO,3005-000-3905,3610-000-0044,PMM3,37.2,44.0,22.0,2682926829268293.0,8177560975609757.0
MS 172,35.0,ROLLO,3005-003-3909,3610-000-0050,PMM3,32.8,50.0,25.0,3049.0,93.0
MS 172 C-BE,35.0,ROLLO,3005-003-3909,3610-000-0050,PMM3,32.8,50.0,25.0,3049.0,93.0
MS 180,30.0,ROLLO,3005-000-3905,3610-000-0044,PMM3,37.2,44.0,22.0,2682926829268293.0,8177560975609757.0
,35.0,ROLLO,3005-003-3909,3610-000-0050,PMM3,32.8,50.0,25.0,3048780487804878.0,9292682926829268.0
MS 182,40.0,LIGHT 04,3005-000-4813,3636-000-0055,PM3,29.8,55.0,27 + 1 ELO,3354.0,102.0
MS 193 T 194 T,30.0,ROLLO,3005-000-3905,3610-000-0044,PMM3,37.2,44.0,22.0,2682926829268293.0,8177560975609757.0
MS 210,30.0,ROLLO,3005-000-4805,3613-000-0044,PM,37.2,44.0,22.0,2682926829268293.0,8177560975609757.0
,35.0,ROLLO,3005-000-4809,3613-000-0050,PM,32.8,50.0,25.0,3048780487804878.0,9292682926829268.0
MS 212,40.0,LIGHT 04,3005-000-4813,3636-000-0055,PM3,29.8,55.0,27 + 1 ELO,3354.0,102.0
MS 212,45.0,LIGHT 04,3005-000-4817,3636-000-0061,PM3,26.88,61.0,30 + 1 ELO,3719.0,113.0
"MS 230
MS 250",35.0,ROLLO,3005-000-4809,3613-000-0050,PM,32.8,50.0,25.0,3048780487804878.0,9292682926829268.0
MS 250,40.0,LIGHT 04,3005-000-4813,3613-000-0055,PM,29.8,55.0,27 + 1 ELO,3353658536585366.0,1.0221951219512198e+16
MS 260,32.0,ROLLO,3003-000-5306,3639-000-0056,RS,32.8,56.0,28.0,3.0434782608695656e+16,9276521739130436.0
,40.0,ROLLO,3003-008-6813,3639-000-0067,RS,27.46,67.0,33 + 1 ELO,3641304347826087.0,1.1098695652173912e+16
MS 260,33.0,DURO,3003-001-9207,3621-000-0052,RS,31.5,52.0,26.0,3.1707317073170732e+16,966439024390244.0
,32.0,ROLLOS,3003-001-9406,3621-000-0050,RS,31.5,50.0,25.0,3048780487804878.0,9292682926829268.0
,40.0,DURO,3003-001-9213,3621-000-0060,RS,27.3,60.0,30.0,3.6585365853658536e+16,1115121951219512.0
,40.0,ROLLOS,3003-001-9413,3621-000-0060,RS,27.3,60.0,30.0,3.6585365853658536e+16,1115121951219512.0
,50.0,DURO,3003-001-9221,3621-000-0072,RS,22.7,72.0,36.0,4390243902439024.0,1.3381463414634144e+16
