unnamed_2,codigo_material,preco_real,qtde_min,descricao,vazao_maxima_l_h,pressao_maxima_bar,pressao_de_trabalho_bar,potencia_kw,tipo_de_motor,peso_kg,comprimento_da_mangueira_m,cabecote_da_bomba,s,t,ipi,ncm_classif_fiscal,cod_barras
,RE02-011-4506,819.0,1.0,"RE 80.0 X Lavadora de alta pressão, 127",450,100,70,1.5,Universal,7.0,5.0,Alumínio,1.0,10.0,0.0,84243010.0,886661314652.0
,RE02-011-4507,819.0,1.0,"RE 80.0 X Lavadora de alta pressão, 220",430,120,90,1.7,Universal,7.0,5.0,Alumínio,1.0,10.0,0.0,84243010.0,886661314669.0
,RE02-011-4513,929.0,1.0,"RE 80.0 Lavadora de alta pressão, 127 V",450,100,70,1.5,Universal,75.0,5.0,Alumínio,1.0,10.0,0.0,84243010.0,886661314720.0
,RE02-011-4514,929.0,1.0,"RE 80.0 Lavadora de alta pressão, 220 V",430,120,90,1.7,Universal,75.0,5.0,Alumínio,1.0,10.0,0.0,84243010.0,886661314744.0
,RE02-011-4519,1129.0,1.0,"RE 90.0 Lavadora de alta pressão, 127 V",450,100,72,1.5,Universal,8.0,6.0,Alumínio,1.0,10.0,0.0,84243010.0,886661314799.0
,RE02-011-4539,1129.0,1.0,"RE 90.0 Lavadora de alta pressão, 220 V",440,130,100,2.1,Universal,8.0,6.0,Alumínio,1.0,10.0,0.0,84243010.0,886661316410.0
,RE02-011-4525,1249.0,1.0,"RE 90.0 PLUS Lav. de alta pressão,127V",450,100,72,1.5,Universal,9.0,6.0,Alumínio,1.0,10.0,0.0,84243010.0,886661315062.0
,RE02-011-4528,1249.0,1.0,"RE 90.0 PLUS Lav. de alta pressão, 220V",440,130,100,2.1,Universal,9.0,6.0,Alumínio,1.0,10.0,0.0,84243010.0,886661315093.0
,4950-011-4504,1969.0,1.0,"RE 100 Lavadora de alta pressão, 127 V",440,130,95,1.6,Indução ,165.0,7.0,Alumínio,5.0,10.0,0.0,84243010.0,886661025657.0
,4950-011-4505,1969.0,1.0,"RE 100 Lavadora de alta pressão, 220 V",510,140,100,1.7,Indução ,165.0,7.0,Alumínio,5.0,10.0,0.0,84243010.0,886661025664.0
,4950-011-4527,1649.0,1.0,"RE 110 Lavadora de alta pressão, 127 V",440,130,95,1.6,RE 110 - 127V,176.0,7.0,,1.0,10.0,0.0,84243010.0,886661534074.0
,4950-011-4538,2399.0,1.0,RE 110 PLUS 127 V Lavadora de alta,440/510,130/140,95/100,"1,6/1,7",RE 110 PLUS - 127V,1795.0,8.0,,1.0,10.0,0.0,84243010.0,198520016240.0
,4950-011-4539,2399.0,1.0,RE 110 PLUS 220 V Lavadora de alta,,,,,RE 110 PLUS - 220V,,,,1.0,10.0,0.0,84243010.0,198520016257.0
,4950-011-4591,2889.0,1.0,"RE 145.0 Lavadora de alta pressão, 127 V",440,130,95,1.6,RE 145 - 127 V,185.0,8.0,,1.0,10.0,0.0,84243010.0,886661534432.0
,4950-011-4592,2889.0,1.0,"RE 145.0 Lavadora de alta pressão, 220 V",580,160,110,2.3,RE 145 - 220V,197.0,8.0,,1.0,10.0,0.0,84243010.0,886661534487.0
,RE01-011-4513,4199.0,1.0,RE 150.0 Lavadora de alta pressão,600,180,130,2.8,RE 150 - 220V,30.0,9.0,,1.0,10.0,0.0,84243010.0,886661692798.0
,4950-500-1605,6936.0,1.0,"Bico turbo Ø 1,04 mm",,Bico turbo branco,,,RE90/95/110 - 110V/220V,,,,1.0,10.0,325.0,84249090.0,886661169986.0
,4951-530-0006,6359.0,1.0,Bico chato,,Bico leque azul,,,RE90 110V,,,,1.0,10.0,325.0,84249090.0,886661517091.0
,4951-530-0005,6359.0,1.0,Bico chato,,Bico leque amarelo,,,RE90 220V,,,,1.0,10.0,325.0,84249090.0,886661517084.0
,4951-530-0007,5538.0,1.0,Bico chato,,Bico leque turquesa,,,RE95 127V,,,,1.0,10.0,325.0,84249090.0,886661517107.0
,4951-530-0009,5638.0,1.0,Bico chato,,Bico leque branco,,,RE95 220V,,,,1.0,10.0,325.0,84249090.0,886661555444.0
,4950-500-1607,6936.0,1.0,"Bico turbo Ø 1,10 mm, azul",,Bico turbo azul,,,RE 110 - 110V/220V,,,,1.0,10.0,325.0,84249090.0,886661169993.0
,4930-530-0022,579.0,1.0,"Bico chato  Ø 1,28 mm, azul claro",,Bico leque azul,,,RE110,,,,1.0,10.0,325.0,84249090.0,886661901111.0
,4900-500-1630,1611.0,1.0,Bico turbo verde,,Bico Turbo Verde,,,RE88/98/109-127V/220V,,,,1.0,10.0,325.0,84249090.0,795711398415.0
,4900-500-6322,7176.0,1.0,Bico leque turquesa,,Bico Leque Turquesa,,,RE88-127V - RE109-127V/220V,,,,1.0,10.0,325.0,84249090.0,795711398439.0
,4900-500-6320,7176.0,1.0,Bico leque amarelo,,Bico Leque Amarelo,,,RE88-220V - RE98-127V/220V,,,,1.0,10.0,325.0,84249090.0,795711924799.0
,4900-500-1698,869.0,1.0,Bico turbo turquesa,,Bico Turbo Turquesa,,,RE98-127V,,,,1.0,10.0,325.0,84249090.0,795711924812.0
,4900-500-6321,2241.0,1.0,Bico leque verde,,Bico Leque Verde,,,RE108-127V,,,,1.0,10.0,325.0,84249090.0,795711398422.0
,4900-500-6325,1529.0,1.0,Bico leque rosa,,Bico Leque Pink,,,RE108-220V,,,,1.0,10.0,325.0,84249090.0,795711619770.0
,4900-500-1677,32719.0,1.0,Bico turbo,,Bico Turbo Cinza,,,RE143 - 220V,,,,1.0,10.0,325.0,84249090.0,795711630188.0
,4915-500-3824,51847.0,1.0,Bico Leque Azul RE143 -220V,,Bico Leque Azul,,,RE143 - 220V - Leque,,,,1.0,10.0,325.0,84249090.0,795711620721.0
,RE01-500-1624,11584.0,1.0,Bico Turbo 220V/60Hz,,,,,Substitui RE01-500-1620RE150,,,,1.0,10.0,325.0,84249090.0,886661536795.0
,4925-500-3811,2241.0,1.0,Bico leque,,Bico Leque de jatear,,,RE230/232 - 220V,,,,1.0,10.0,325.0,84249090.0,886661066810.0
,4900-500-1641,4131.0,1.0,Bico turbo W12 040,,Bico Turbo,,,RE230/232 - 220V,,,,1.0,10.0,325.0,84249090.0,795711353483.0
,4910-500-9600,1971.0,1.0,Bico de espuma,,,,,RE90/110,,,,6.0,10.0,325.0,84249090.0,886661863921.0
,4910-500-9601,1971.0,1.0,Bico de espuma,,,,,RE143/150,,,,6.0,10.0,325.0,84249090.0,886661408993.0
,4925-500-9600,219.0,1.0,Bico de espuma,,,,,Recipientes de 1 litro com jato regulávelRE230,,,,1.0,10.0,325.0,84249090.0,886661151837.0
,4910-500-0801,21901.0,1.0,Mangueira de alta pressão DN06 7 m,,,,,RE80X/80/90.0/90Plus/90/95/110,,,,1.0,10.0,325.0,39173900.0,886661952267.0
,4910-500-1900,3681.0,1.0,"Lança de jatear angular 1,08 m",,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,10.0,325.0,84249090.0,886661861965.0
,4910-500-0802,409.0,1.0,Mangueira de alta pressão DN06 9 m,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,0.0,65.0,40092210.0,886661952274.0
,4910-500-0500,289.0,1.0,Mangueira de aspiração 3 m,,,,,RE88/98/90/95/109/110/143/150/330/232,,,,1.0,0.0,65.0,40093210.0,886661861996.0
,4910-500-1800,35328.0,1.0,Dispositivo de jateamento com líquido,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,10.0,325.0,84249090.0,886661861989.0
,4910-500-8000,27899.0,1.0,Jogo de limpeza de tubos 15 m,,,,,RE88/90/95/98/109/110/143/150,,,,6.0,10.0,325.0,84249090.0,886661862009.0
,4910-500-3902,28901.0,1.0,Lavadora superficial RA 90,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,10.0,325.0,84249090.0,886661645213.0
,4910-500-3901,349.0,1.0,Lavadora superficial RA 110,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,10.0,325.0,84249090.0,886661861958.0
,4925-500-5900,116376.0,1.0,Escova rotativa,,,,,RE230/RE232,,,,1.0,10.0,325.0,84249090.0,795711693329.0
,4910-500-5900,31905.0,1.0,Escova rotativa,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,10.0,325.0,84249090.0,886661861934.0
,4900-500-5401,18625.0,1.0,Filtro de água,,,,,Todas as lavadoras,,,,1.0,10.0,0.0,84212990.0,795711175658.0
,4900-500-5405,26327.0,1.0,Filtro de água,,,,,RE232,,,,1.0,10.0,0.0,84212990.0,886661357130.0
,4910-500-5400,7018.0,1.0,Filtro de água,,,,,RE80X/80/90.0/90Plus/90/95/110,,,,1.0,10.0,52.0,84219999.0,886661952250.0
,4910-500-8600,3752.0,1.0,Mangueira plana com carretel fixo,,Suporte para fixação nas lavadoras RE 109: 4900-501-2001 e RE 110: 4950-790-5400,,,RE80X/80/90.0/90Plus/90/95/110/143/150/232,,,,1.0,10.0,325.0,84249090.0,886661952298.0
