unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,unnamed_9,utilizacao,unnamed_11,unnamed_12,s,t,ipi,ncm_classif_fiscal,codigo_barras,unnamed_18,unnamed_19
,,0000-881-0508,509.0,1.0,Bolsa de ferramentas Para motosserra,,Bolsa para motosserra,,,1.0,0.0,65.0,42029200.0,795711258979.0,,
,,0000-881-0520,289.0,1.0,Bolsa para transporte de baterias e carregadores,,baterias e carregadores,,,1.0,0.0,65.0,42029200.0,795711972936.0,,
,,0000-881-0507,679.0,1.0,Bolsa de ferramentas para FS ,,ferramentas para FS,,,1.0,0.0,65.0,42029200.0,795711249939.0,,
,,0781-389-3004,366.0,20.0,Lubrificante 500 ml STIHL 8017 H,,Motores a combustão,,,0.0,10.0,0.0,27101932.0,795711482039.0,208.0,620502001.0
,,7030-319-0001,28555.0,4.0,Lubrificante STIHL 8017 H 4L,,Motores a combustão,,,0.0,10.0,0.0,27101932.0,886661711062.0,208.0,620502001.0
,,0781-389-3012,1339.0,1.0,Lubrificante STIHL 8017 H 20L,,Motores a combustão,,,0.0,10.0,0.0,27101932.0,886661215843.0,208.0,620502001.0
,,7030-319-0000,2999.0,24.0,STIHL óleo 4 tempos - SAE 10W-30,,Motores a combustão - WP300/600/900/MH610/710,,,0.0,10.0,0.0,27101932.0,795711955328.0,21666.0,620501001.0
,,7030-516-0000,25.0,24.0,Óleo de corrente STIHL Magnum 1L,,Lubrificação de correntes e conjuntos de corte,,,0.0,10.0,0.0,27101932.0,886661288519.0,,620601004.0
,,7030-319-0002,935.0,4.0,Óleo de corrente STIHL Magnum 4L,,Lubrificação de correntes e conjuntos de corte,,,0.0,10.0,0.0,27101932.0,886661711079.0,,620601004.0
,,7030-516-0002,460.0,1.0,Óleo de corrente STIHL Magnum 20L,,Lubrificação de correntes e conjuntos de corte,,,0.0,10.0,0.0,27101932.0,886661288533.0,,620601004.0
,,0000-881-9411,2389.0,10.0,Misturador de Combustível 1 L,,Motores a combustão,,,0.0,10.0,0.0,39269090.0,886661139392.0,,
,,0781-120-1118,39.0,1.0,Tubo de graxa Superlub 225 g Tubo,,FS/HT,FS/HT,,3.0,10.0,52.0,27101999.0,795711017842.0,650101002.0,
,,0781-120-1028,2095.0,10.0,Tubo de graxa 80 g,,FS80/85/120/160/220/290/300/350/380/220,FS80/85/120/160/220/290/300/350/380/220,,1.0,10.0,52.0,27101999.0,886661019816.0,650101002.0,
