codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0000-007-1043,74.97,5,Jogo de parafusos,MS310 MS390 MS046 MS460 SR420 BR600,1,10,6.5,73181500,886661266555
0000-007-1044,52.05,1,Jogo de parafusos,MS310 MS390 MS046 MS460 SR420 BR600,1,10,6.5,73181500,886661266562
0000-007-1300,1.77,4,Kit Anel de vedação redondo N 4x2-EPDM70,FS55 FS80 FS85 FS120 FS130 FS160 FS220 FS280 FS290 FS300 FS350 FR220 FR350,5,10,5.2,40169300,795711691844
0000-007-1601,11.37,1,Jogo de juntas de vedação,BT45 TS350 TS760 TS420 SG31,1,10,7.8,84841000,886661008827
0000-007-1602,4.55,1,Jogo de juntas de vedação,SG31,1,10,7.8,84849000,886661054138
0000-036-0200,6.1,1,Anel da embreagem,TS420,1,10,6.5,73182900,795711657505
0000-084-0700,2.56,3,Rebite,MS08 MS025 FS160 FS220 FS280 FR220 SR400 SR420 TS350 P840 BG50,5,10,6.5,76161000,886661549313
0000-084-6900,7.38,3,Peça isolante,MS651 MS661,5,10,11.7,40169990,795711976378
0000-084-7000,3.48,1,Porca de fenda,MS651 MS661,8,10,6.5,73181600,795711968168
0000-120-5111,120.33,1,Válvula magnética,MS362,1,10,0.0,84818092,886661571727
0000-121-2300,6.64,1,Suporte,FS460,1,10,5.0,73269090,795711479206
0000-121-2301,6.51,1,Suporte,MS362,1,10,5.0,73269090,886661065363
0000-121-2703,21.52,5,Capa,MS192 MS210 MS230 MS250 MS310,1,10,9.75,39269090,795711979348
0000-122-7101,15.12,20,Parafuso,BG SH56 SH86 FC70 MS361 MS362 MS194T MS462 MS651 MS661 HT133,1,10,6.5,73181500,795711904937
0000-122-7102,5.77,1,Parafuso,FS460,1,10,6.5,73181500,886661065349
0000-122-7103,15.12,10,Parafuso,MS362,1,10,6.5,73181500,886661065356
0000-124-0800,8.83,2,Elemento do filtro,MS066,1,10,5.2,84219999,795711479251
0000-140-4407,65.35,1,Filtro de ar HD2,MS650 MS460 MS660,1,10,5.2,84213100,886661318230
0000-141-0300,11.7,2,Pré-filtro,MS046 MS460 MS066 MS660 MS650,1,10,5.2,84213100,795711478728
0000-141-3200,15.68,1,Chapa de refrigeração,TS420,1,10,3.25,84099190,886661194827
0000-141-8600,10.62,2,Mangueira,TS420,1,10,6.5,40091100,795711477943
0000-162-3001,5.94,10,Suporte,TS800 MS066 MS660 MS650 MS651 MS661,1,10,5.2,84679900,886661013661
0000-182-2100,9.86,1,"Suporte Ø 25,4 mm",FS85 FS86 FS106 FS108 FS120 FS160 FS250 KA85R KM55 KMA135,5,10,9.75,39269090,886661621552
0000-182-2101,8.98,10,Suporte Ø 28 mm,FS160,0,10,0.0,39269090,886661621569
0000-190-2901,15.73,5,"Cordão de arranque Ø 4,5 mm",TS350 TS760,1,0,0.0,84799090,795711658014
0000-190-3401,49.89,1,"Manípulo ElastoStart Ø 3,5 mm",MS036 FS160 FS220 FS280 SR400 SR420,5,0,0.0,84799090,795711121358
0000-190-3402,47.16,1,Manípulo ElastoStart Ø 3 mm,MS210 MS230 MS250,5,0,0.0,84799090,795711121365
0000-190-3403,48.09,1,"Manípulo ElastoStart Ø 2,7 mm",FS75 FS85 FS85R SP80 SP80K SP81 HT75 HS80 KA85R,1,0,0.0,84799090,795711658731
0000-190-3404,49.38,1,Manípulo ElastoStart Ø 3 mm,FS38 HS45 KM55,1,0,0.0,84799090,795711478889
0000-190-3405,47.58,1,Manípulo ElastoStart Ø 3 mm,BT121 FR220 FR350 FS120 FS250 FS300 FS350,5,0,0.0,84799090,795711478896
0000-190-3414,62.26,1,Manípulo de arranque,TS350 TS760,5,0,0.0,84799090,795711379292
0000-190-3500,42.47,1,Manípulo c/cordão de arranque Ø 4 mm,TS420,1,0,0.0,84799090,795711479015
0000-195-7000,4.08,1,Capa,BT121 FR85 FR220 FR350 FS120 FS250 FS300 FS350,1,10,9.75,39269090,795711478681
0000-195-7001,4.08,1,Capa,FS160 FS220 FS280 MS210,1,10,9.75,39269090,795711478698
0000-195-7200,6.32,10,Peça de engate,BT120 BT121 FS120 FS250 FS300 FS350 FR350 KA120,1,0,0.0,84799090,795711478704
0000-195-8200,5.73,5,Cordão de arranque Ø 3x800 mm,MS170 MS210 MS025 MS230 MS250 FS85 FS85R FR85 SP80 SP80K HT75,5,0,0.0,56075011,795711479220
0000-195-8203,6.08,25,Cordão de arranque Ø 3x850 mm,BT121 FR220 FR350 FS120 FS250 FS300 FS350 KA120 HT133 MS194T,1,0,0.0,84799090,795711478780
