unnamed_1,unnamed_2,unnamed_3,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,,,MA04-011-5803,1899.0,"MSA 60.0 C-B 1/4""P Motosserra à bateria",1.0,AK 20,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",14,25.0,1.0,10.0,52.0,84672200.0,886661682706.0
,,,MA04-011-5812,2909.0,"MSA 60.0 C-B 1/4""P SET Motosserra à  bateria",1.0,,"Bateria AK 20
Carregador AL 101 - 220V",220V,,,,,37.0,1.0,10.0,52.0,84672200.0,886661682881.0
,,,MA04-011-5813,2909.0,"MSA 60.0 C-B 1/4""P SET Motosserra à  bateria",1.0,,"Bateria AK 20
Carregador AL 101 - 127V",127V,,,,,37.0,1.0,10.0,52.0,84672200.0,886661682904.0
,,,MA04-011-5819,2099.0,"MSA 70.0 C-B 1/4""P Motosserra à bateria",1.0,AK 30,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",14,25.0,1.0,10.0,52.0,84672200.0,886661683376.0
,,,MA04-011-5828,3409.0,"MSA 70.0 C-B 1/4""P SET Motosserra à  bateria",1.0,,"Bateria AK 30
Carregador AL 101 - 220V",220V,,,,,37.0,1.0,10.0,52.0,84672200.0,886661683581.0
,,,MA04-011-5829,3409.0,"MSA 70.0 C-B 1/4""P SET Motosserra à  bateria",1.0,,"Bateria AK 30
Carregador AL 101 - 127V",127V,,,,,37.0,1.0,10.0,52.0,84672200.0,886661683598.0
,,,1252-200-0054,3199.0,"MSA 161 T Motosserra à bateria,30cm/12""",1.0,AP 200 S,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",16,25.0,1.0,10.0,52.0,84672200.0,886661965120.0
,,,MA03-200-0001,2199.0,MSA 160.0 C-B Motosserra à bateria,1.0,AP 300S,Não acompanha bateria ou carregador,-,36,30,"PM3 - 1/4"" - 1,1 mm",16,31.0,1.0,10.0,52.0,84672200.0,886661874323.0
,,,MA03-200-0024,2499.0,MSA 200.0 C-B Motosserra à bateria,1.0,AP 300S,Não acompanha bateria ou carregador,,36,35,"PM3 - 1/4"" - 1,1 mm",16,31.0,1.0,10.0,52.0,84672200.0,886661875184.0
,,,MA03-200-0026,2899.0,MSA 220.0 C-B Motosserra à bateria,1.0,AP 300S,Não acompanha bateria ou carregador,,36,40,"PS3 - 3/8"" - 1,1 mm",23,31.0,1.0,10.0,52.0,84672200.0,795711401566.0
