unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,cilindrada_cm3,pot,unnamed_11,peso,conjunto_de_corte,s,t,ipi,ncm_classif_fiscal,cod_barras
,,4140-200-0598,1149.0,2.0,"FS 38 Roçadeira,AutoCut C6-2",272.0,0.65,9.0,41.0,AutoCut C 6-2,1.0,10.0,52.0,84678900.0,886661970544.0
,,4140-200-0601,135901.0,2.0,"FS 55 R Roçadeira,GC 230-2",272.0,0.75,1.0,44.0,2 facas 230mm,1.0,10.0,52.0,84678900.0,886661970582.0
,,4140-200-0602,1459.0,2.0,"FS 55 R Roçadeira,AutoCut C 26-2",,,,,AutoCut C 26-2,1.0,10.0,52.0,84678900.0,886661970599.0
,,4140-200-0599,149899.0,2.0,"FS 55 Roçadeira,GC 230-2",272.0,0.75,1.0,48.0,2 facas 230mm,1.0,10.0,52.0,84678900.0,886661970551.0
,,4140-200-0600,156899.0,2.0,"FS 55 Roçadeira,AutoCut C 26-2",,,,,AutoCut C 26-2,1.0,10.0,52.0,84678900.0,886661970575.0
,,4137-200-0318,1999.0,1.0,"FS 80 Roçadeira,DM 250-3",254.0,0.95,13.0,5.0,3 facas 250mm,5.0,10.0,52.0,84678900.0,886661559985.0
,,4137-200-0328,1979.0,1.0,"FS 80 Roçadeira,GSB 230-2",254.0,0.95,13.0,52.0,2 facas 230mm,5.0,10.0,52.0,84678900.0,886661560110.0
,,4137-200-0394,2029.0,1.0,"FS 80 Roçadeira,TrimCut 32-2",254.0,0.95,13.0,52.0,TrimCut 32-2,0.0,10.0,52.0,84678900.0,886661576173.0
,,4137-200-0320,2099.0,1.0,"FS 85 Roçadeira,DM 250-3",254.0,0.95,13.0,52.0,3 facas 250mm,5.0,10.0,52.0,84678900.0,886661560004.0
,,4137-200-0321,2069.0,1.0,"FS 85 Roçadeira,GSB 230-2",254.0,0.95,13.0,52.0,2 facas 230mm,0.0,10.0,52.0,84678900.0,886661560011.0
,,4137-200-0395,2139.0,1.0,"FS 85 Roçadeira,TrimCut 32-2",254.0,0.95,13.0,52.0,TrimCut 32-2,0.0,10.0,52.0,84678900.0,886661566129.0
,,4134-200-0396,1999.0,2.0,"FS 120 Roçadeira,DM 250-3",308.0,1.3,18.0,63.0,3 facas 250mm,3.0,10.0,52.0,84678900.0,886661560608.0
,,4134-200-0397,1989.0,2.0,"FS 120 Roçadeira,GSB 230-2",308.0,1.3,18.0,63.0,2 facas 230mm,8.0,10.0,52.0,84678900.0,886661560615.0
,,4134-200-0458,2019.0,2.0,"FS 120 Roçadeira,TrimCut 32-2",308.0,1.3,18.0,63.0,TrimCut 32-2,8.0,10.0,52.0,84678900.0,886661566136.0
,,4180-200-0647,3199.0,2.0,"FS 131 Roçadeira,DM 250-3",363.0,1.4,19.0,58.0,3 facas 250mm,8.0,10.0,52.0,84678900.0,886661560776.0
,,4147-200-0503,2999.0,1.0,FS 161-L Roçadeira Lâmina 2 facas especi,377.0,1.5,2039.0,75.0,2 facas 305mm - Blindada,0.0,10.0,52.0,84678900.0,795711128302.0
,,4147-200-0502,2989.0,1.0,FS 161-L Roçadeira Lâmina 3 facas,,,,,3 facas 300mm,0.0,10.0,52.0,84678900.0,795711128296.0
,,4147-200-0501,2969.0,1.0,FS 161-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2,0.0,10.0,52.0,84678900.0,795711128265.0
,,4147-200-0506,3499.0,1.0,FS 221-L Roçadeira Lâmina 3 facas,377.0,1.7,231.0,77.0,3 facas 300mm,0.0,10.0,52.0,84678900.0,795711128333.0
,,4147-200-0504,3529.0,1.0,FS 221-L Roçadeira Lâmina 2 facas especi,,,,,2 facas 305mm - Blindada,0.0,10.0,52.0,84678900.0,795711128319.0
,,4147-200-0505,3439.0,1.0,FS 221-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2,0.0,10.0,52.0,84678900.0,795711128326.0
,,4147-200-0508,3999.0,1.0,FS 291-L Roçadeira Lâmina 3 facas,416.0,2,268.0,8.0,3 facas 300mm,0.0,10.0,52.0,84678900.0,795711128357.0
,,4147-200-0507,4039.0,1.0,FS 291-L Roçadeira Lâmina 2 facas especial,,,,,2 facas 305mm - Blindada,0.0,10.0,52.0,84678900.0,795711128340.0
,,4147-200-0510,3949.0,1.0,FS 291-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2,0.0,10.0,52.0,84678900.0,795711128814.0
,,4147-200-0509,4049.0,1.0,FS 291-L Roçadeira Serra circular 225-24,,,,,Serra 225mm - Especial,5.0,10.0,52.0,84678900.0,795711128364.0
,,4147-200-0512,3899.0,1.0,FS 351-L Roçadeira Lâmina 3 facas,377.0,1.7,231.0,88.0,3 Facas 300mm,0.0,10.0,52.0,84678900.0,795711128838.0
,,4147-200-0511,3939.0,1.0,FS 351-L Roçadeira Lâmina 2 facas especial,,,,,2 Facas de aço 305-2 Especial,0.0,10.0,52.0,84678900.0,795711128821.0
,,4147-200-0513,3859.0,1.0,FS 351-L Roçadeira TrimCut C 42-2,,,,,TrimCut 42-2,0.0,10.0,52.0,84678900.0,795711128852.0
