unnamed_1,codigo_material,preco_real,qtde_min,descricao,modelos_maquinas,origem,t,ipi,ncm_classif_fiscal,codigo_barras
,3002-001-9223,369.84,1.0,"Sabre D 53cm/21"" 1,6mm/0.063""",MS08 MS051 MS076,5.0,10.0,5.2,84679100.0,795711100810.0
,3002-001-9231,425.04,1.0,"Sabre D 63cm/25"" 1,6mm/0.063"" 404""",MS051 MS076 MS08,5.0,10.0,5.2,84679100.0,795711158569.0
,3002-001-8041,491.28,1.0,"Sabre D 75cm/30"" 1,6mm/0.063""",MS051 MS076,5.0,10.0,5.2,84679100.0,795711038250.0
,3003-001-9207,259.44,1.0,"Sabre D 33cm/13"" 1,6mm/0.063"" 3/8""",MS310 MS361 MS260 MS362 MS382,5.0,10.0,5.2,84679100.0,795711170103.0
,3003-001-9213,298.09,1.0,"Sabre D 40cm/16"" 1,6mm/0.063"" 3/8""",MS310 MS362 MS382 MS460 MS650 MS660,5.0,10.0,5.2,84679100.0,795711038885.0
,3003-001-9221,353.29,1.0,"Sabre D 50cm/20"" 1,6mm/0.063""",MS034 MS038 MS066 MS460 MS650 MS660 MS362 MS382,5.0,10.0,5.2,84679100.0,795711038892.0
,3003-001-5631,425.04,1.0,"Sabre D 63cm/25"" 1,6mm/0.063""",MS460 MS650 MS660,5.0,10.0,5.2,84679100.0,795711154851.0
,3003-001-9241,491.28,1.0,"Sabre D 75cm/30"" 1,6mm/0.063""",MS064 MS066 MS650 MS660,5.0,10.0,5.2,84679100.0,795711170127.0
,3003-000-8453,694.79,1.0,"Sabre D 90cm/36"" 1,6mm/0.063""",MS651 MS661,1.0,10.0,5.2,84679100.0,795711169824.0
,3003-001-9406,282.45,1.0,"Sabre S 32cm/13"" 1,6mm/0.063"" 3/8""",MS310 MS260 MS361 MS382,5.0,10.0,5.2,84679100.0,795711170134.0
,3003-001-9413,312.99,1.0,"Sabre S 40cm/16"" 1,6mm/0.063"" 3/8""",MS310 MS260 MS361 MS362 MS382,5.0,10.0,5.2,84679100.0,795711312206.0
,3003-001-9421,370.92,1.0,"Sabre S 50cm/20"" 1,6mm/0.063"" 3/8""",MS310 MS260 MS361 MS362 MS382 MS460 MS650 MS660,5.0,10.0,5.2,84679100.0,795711349424.0
,3003-001-9431,446.29,1.0,"Sabre S 63cm/25"" 1,6mm/0.063"" 3/8""",M460 M650 M660,5.0,10.0,5.2,84679100.0,795711991753.0
,3003-001-6041,515.85,1.0,"Sabre S 75cm/30"" 1,6mm/0.063"" 3/8""",MS650 MS660,5.0,10.0,5.2,84679100.0,795711991760.0
,3005-000-3905,160.72,1.0,"Sabre R 30cm/12"" 1,1mm/0.043"" 3/8"" P",HT75 HT133 KA85R KM55R KM85R MS170 MS180 MS180C MS193T MSE141,1.0,10.0,5.2,84679100.0,795711122089.0
,3005-003-3909,165.32,1.0,"Sabre R 35cm/14"" 1,1mm/0.043"" 3/8"" P",MS180 MS172,1.0,10.0,5.2,84679100.0,795711143992.0
,3003-008-6813,218.95,1.0,"Sabre R 40cm/16"" 1,6mm/0.063"" .325""",MS260,1.0,10.0,5.2,84679100.0,795711357962.0
,3003-000-5221,264.96,1.0,"Sabre R 50cm/20"" 1,6mm/0.063"" 3/8""",MS310 MS260 MS361 MS362 MS382 MS460 MS650 MS660,1.0,10.0,5.2,84679100.0,795711038359.0
,3005-008-3405,154.32,1.0,"Sabre L01 30cm/12"" 1,1mm/0.043"" 1/4""P",MSA120 MSA160 MSA200 MSA160T HTA85 HT133 HT75,1.0,10.0,5.2,84679100.0,795711909765.0
,3005-008-3409,187.95,1.0,"Sabre L01 35cm/14"" 1,1mm/0.043"" 1/4""P",MSA200,1.0,10.0,5.2,84679100.0,795711981204.0
,3005-000-4413,212.91,1.0,"Sabre L04 40cm/16"" 1,1mm/0.043"" 3/8"" P",MSA 220.0 C-B,1.0,10.0,5.2,84679100.0,886661715862.0
,3005-000-4805,187.95,1.0,"Sabre L04 30cm/12"" 1,3mm/0.050"" 3/8""P",MS210 MS230 MS250 MSE170 HT70K,1.0,10.0,5.2,84679100.0,795711038991.0
,3005-000-4809,193.2,1.0,"Sabre L04 35cm/14"" 1,3mm/0.050"" 3/8""P",MS210 MS230 MS250 MSE170 MSA220,1.0,10.0,5.2,84679100.0,795711039004.0
,3005-000-4813,212.91,1.0,"Sabre L04 40cm/16"" 1,3mm/0.050"" 3/8""P",MS 182 210 212 230 250 MSE170,1.0,10.0,5.2,84679100.0,795711039011.0
,3003-000-5306,219.44,1.0,"Sabre L04 32cm/13"" 1,6mm/0.063"" .325""",MS260,1.0,10.0,5.2,84679100.0,795711038373.0
,3005-000-4817,235.02,1.0,"Sabre L04 45cm/18"" 1,3mm/0.050"" 3/8""P",MS212,1.0,10.0,5.2,84679100.0,795711039028.0
,3003-000-5213,240.45,1.0,"Sabre L06 40cm/16"" 1,6mm/0.063"" 3/8""",MS310 MS260 MS361 MS362 MS382 MS460 MS650 MS660,1.0,10.0,5.2,84679100.0,795711038335.0
,3003-000-5231,318.77,1.0,"Sabre L06 63cm/25"" 1,6mm/0.063"" 3/8""",MS460 MS650 MS660,1.0,10.0,5.2,84679100.0,795711038366.0
,3007-003-0101,72.44,1.0,"Sabre L 10cm/4"" 1,1mm/0.043""",GTA 26,1.0,10.0,5.2,84679100.0,886661899913.0
,3005-008-4905,168.99,1.0,"Sabre L 30cm/12"" 1,1mm/0.043""",MS162,1.0,10.0,5.2,84679100.0,886661894161.0
,3003-008-3317,232.61,1.0,"Sabre L04 45cm/18"" 1,3mm/0.050"" .325""",MSA300.0,1.0,10.0,5.2,84679100.0,886661807529.0
,3003-008-3321,252.31,1.0,"Sabre L04 50cm/20"" 1,3mm/0.050"" .325""",MSA300.0,1.0,10.0,5.2,84679100.0,886661807536.0
,3005-000-3105,286.24,1.0,"Sabre C 30cm/12"" 1,1mm/0.043"" 1/4"" P",Utiliza a corrente 71 PM3 Picco Micro - 3670-000-0064,1.0,10.0,5.2,84679100.0,795711933937.0
,3003-650-2551,133.25,1.0,"Cabeça do sabre 3/8"" 11Z 1,6","Novos Sabres Rollomatic Super - 32 40 50 63 75cm (1,6mm)",3.0,10.0,5.2,84679100.0,795711095208.0
,3003-650-9922,85.09,1.0,"Estrela reversora 3/8"" 10Z 1,6",MS361 MS381,1.0,10.0,0.0,84839000.0,795711097028.0
,3003-650-9935,85.09,1.0,"Estrela reversora 3/8 11Z 1,6","Novos Sabres Rollomatic Super - 32 40 50 63 75cm (1,6mm)",1.0,10.0,0.0,84839000.0,795711097066.0
,3005-650-9903,85.09,1.0,"Estrela reversora 9d 1,3",MS011 MS025,1.0,10.0,0.0,84839000.0,795711097080.0
,0000-974-0503,3.48,5.0,Rebite de cabeça embutida,MS034 MS038 MS066 (Sabres Rolomatic Super),5.0,10.0,6.5,73182300.0,795711592394.0
,3651-000-1640,2797.68,1.0,35 RM Rapid Micro Rolo de corrente,Corrente para máquinas da concorrência.,1.0,10.0,5.2,82024000.0,795711381349.0
,3652-000-0052,100.8,1.0,36 RM Rapid Micro Corrente,MS310 MS260 MS361 MS382,1.0,10.0,5.2,82024000.0,795711381493.0
,3652-000-0060,116.31,1.0,36 RM Rapid Micro Corrente,MS310 MS260 MS361 MS382 MS460,1.0,10.0,5.2,82024000.0,795711381547.0
,3652-000-0072,139.57,1.0,36 RM Rapid Micro Corrente,MS382 MS460 MS650 MS660,1.0,10.0,5.2,82024000.0,795711381615.0
,3652-000-0084,162.83,1.0,36 RM Rapid Micro Corrente,MS460 MS650 MS660,1.0,10.0,5.2,82024000.0,795711381684.0
,3652-000-0096,186.1,1.0,36 RM Rapid Micro Corrente,MS650 MS651 MS660 MS661 - Duro,1.0,10.0,5.2,82024000.0,795711406370.0
,3652-000-0098,189.96,1.0,36 RM Rapid Micro Corrente,MS650 MS660 - Rollo,1.0,10.0,5.2,82024000.0,795711381738.0
,3652-000-1640,2797.42,1.0,36 RM Rapid Micro Rolo de corrente,MS310 MS361 MS362 MS382 MS462 MS651 MS661,1.0,10.0,5.2,82024000.0,795711381820.0
,3653-000-1640,2797.68,1.0,36 RMX Rapid Micro Rolo de corrente,Dentes com ângulo de afiação com 10º,1.0,10.0,5.2,82024000.0,795711392604.0
,3621-000-0050,96.93,1.0,36 RS Rapid Super Corrente,MS310 MS260 MS361 MS362 MS382,1.0,10.0,5.2,82024000.0,795711267872.0
,3621-000-0052,100.8,1.0,36 RS Rapid Super Corrente,MS310 MS260 MS361 MS362 MS382,1.0,10.0,5.2,82024000.0,795711267889.0
,3621-000-0060,116.32,1.0,36 RS Rapid Super Corrente,MS310 MS361 MS460 MS362 MS382,1.0,10.0,5.2,82024000.0,795711250966.0
,3621-000-0072,139.58,1.0,36 RS Rapid Super Corrente,MS362 MS382 MS460 MS650 MS660,1.0,10.0,5.2,82024000.0,795711250980.0
,3621-000-0084,162.84,1.0,36 RS Rapid Super Corrente,MS462 MS651 MS661,1.0,10.0,5.2,82024000.0,795711267032.0
,3621-000-0096,186.1,1.0,36 RS Rapid Super Corrente,MS462 MS651 MS661,1.0,10.0,5.2,82024000.0,795711249137.0
,3621-000-0098,189.98,1.0,36 RS Rapid Super Corrente,MS462 MS651 MS661,1.0,10.0,5.2,82024000.0,795711267049.0
,3621-000-1640,2797.42,1.0,36 RS Rapid Super Rolo de corrente,MS310 MS361 MS362 MS382 MS462 MS651 MS661,1.0,10.0,5.2,82024000.0,795711190880.0
,3664-000-1640,2797.37,1.0,36 RM3 Rapid Micro Rolo de corrente,"3 8“ 1,6mm MS310 361 362 382 462 651 661",1.0,10.0,5.2,82024000.0,795711396046.0
,3626-000-1640,2797.37,1.0,36 RS3 Rapid Super Rolo de corrente,"3 8“ 1,6mm MS310 361 362 382 462 651 661",1.0,10.0,5.2,82024000.0,795711297305.0
,3613-000-0044,78.92,1.0,63 PM Picco Micro Corrente,MSE170 MS210 MS230 MS250,1.0,10.0,5.2,82024000.0,795711400644.0
,3613-000-0050,89.66,1.0,63 PM Picco Micro Corrente,MS210 MS230 MS250,1.0,10.0,5.2,82024000.0,795711400705.0
,3613-000-0055,98.63,1.0,63 PM Picco Micro Corrente,MS230 MS250,1.0,10.0,5.2,82024000.0,795711400743.0
,3613-000-1640,2587.59,1.0,63 PM Picco Micro Rolo de corrente,"3 8“ Picco 1,3mm, MSE 170 C-BQ, MS 210 230 250",1.0,10.0,5.2,82024000.0,795711400118.0
,3615-000-1640,2849.01,1.0,63 PMY Picco Micro Rolo de corrente​,"MS 182, MS 212, MS 230, MS 250 e MSA 220 C-BE",1.0,10.0,5.2,82024000.0,795711400132.0
,3636-000-1640,2587.56,1.0,63 PM3 Picco Micro Rolo de corrente,"3 8“ Picco 1,3mm MS182 212 230 250",1.0,10.0,5.2,82024000.0,795711340186.0
,3636-000-0055,98.6,1.0,63 PM3 Picco Micro Corrente,MS182 MS212,1.0,10.0,5.2,82024000.0,795711340094.0
,3636-000-0061,109.37,1.0,63 PM3 Picco Micro Corrente,MS212,1.0,10.0,5.2,82024000.0,795711340131.0
,3639-000-0056,114.45,1.0,26 RS Rapid Super Corrente,"MS260 - Sabres 32 cm - 0.325""",1.0,10.0,5.2,82024000.0,795711348724.0
,3639-000-0067,113.65,1.0,26 RS Rapid Super Corrente,"MS260 - Sabres 40 cm - 0.325""",1.0,10.0,5.2,82024000.0,795711348809.0
,3639-000-1840,3075.45,1.0,26 RS Rapid Super Rolo de corrente,0.325 MS260,1.0,10.0,5.2,82024000.0,795711344177.0
,3610-000-0044,77.67,1.0,61 PMM3 Picco Micro Mini Corrente,MS162 MS170 MS180 MS193T HT75 HT131 MSE141,1.0,10.0,5.2,82024000.0,795711356378.0
,3610-000-0050,88.26,1.0,61 PMM3 Picco Micro Mini Corrente,MS172 MS172C MS180,1.0,10.0,5.2,82024000.0,795711356408.0
,3610-000-1640,2760.44,1.0,61 PMM3 Picco Micro Mini Rolo de,"3 8“ Picco 1,1 mm HT75 131 KA85R KM55R KM85R MS170 MS180 MS180C MS193T",1.0,10.0,5.2,82024000.0,795711356507.0
,3670-000-0028,51.84,1.0,71 PM3 Picco Micro Corrente,GTA 26,1.0,10.0,5.2,82024000.0,886661945078.0
,3670-000-0064,124.95,1.0,71 PM3 Picco Micro Corrente,MSA 60 70 160 200 160T HTA85 HT133 HT75,1.0,10.0,5.2,82024000.0,795711690953.0
,3670-000-0065,120.33,1.0,71 PM3 Picco Micro Corrente,MSA 161,1.0,10.0,5.2,82024000.0,886661861316.0
,3670-000-0072,133.31,1.0,71 PM3 Picco Micro Corrente,MSA200,1.0,10.0,5.2,82024000.0,886661006212.0
,3670-000-1200,2078.63,1.0,71 PM3 Picco Micro Rolo de corrente,MSA120 MSA140 MSA160 MSA200 HT75 HT133,1.0,10.0,5.2,82024000.0,795711690939.0
,3616-000-0050,124.95,1.0,63 PS3 Picco Super Corrente,MSA220,1.0,10.0,5.2,82024000.0,795711888107.0
,3944-000-0072,1289.78,1.0,36 RDR Rapid Duro Corrente,"Kit Resgaste MS 460 - para sabre de 50cm 20""",1.0,10.0,5.2,82024000.0,795711267797.0
