produto_atualizado_novembro_2023,rs,sc_pr_sp_mg_rj,unnamed_4,demais,unnamed_6,classificacao_fiscal
Motosserras à gasolina,0.0572,0.043,0.0729,0.0719,0.0729,84678100.0
Motosserras elétricas,0.0568,0.0568,0.1354,0.1075,0.1354,84672200.0
Motosserra a bateria - MSA160C ,0.0568,0.0568,0.1354,0.1075,0.1354,84672200.0
Roçadeiras à gasolina,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
Roçadeiras elétricas,0.0899,0.0899,0.1354,0.125,0.1354,84672999.0
Roçadeira a bateria - FSA 85 ,0.0899,0.0899,0.1354,0.125,0.1354,84672999.0
Cortador de grama a bateria - RMA 370 ,0.0568,0.0568,0.1354,0.1075,0.1354,84331100.0
Lavadoras,0.0568,0.0241,0.0729,0.0618,0.0729,84243010.0
Sopradores elétricos,0.0568,0.0568,0.1354,0.1075,0.1354,84145990.0
Sopradores à gasolina,0.0568,0.0568,0.1354,0.1075,0.1354,84145990.0
Soprador a bateria - BGA 85 ,0.0568,0.0568,0.1354,0.1075,0.1354,84145990.0
Pulverizadores à gasolina,0.0572,0.043,0.0729,0.072,0.0729,84244100.0
Perfuradores à gasolina - BT 131,0.0461,0.0461,0.0938,0.0829,0.0938,84678900.0
Furadeira - BT 45,0.0899,0.0899,0.1354,0.125,0.1354,84678900.0
Podadores à gasolina ,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
Podadores elétricos ,0.0899,0.0899,0.1354,0.125,0.1354,84672999.0
Podador a bateria,0.0899,0.0899,0.1354,0.125,0.1354,84672999.0
Moto-poda a bateria,0.0568,0.0568,0.1354,0.1075,0.1354,84672200.0
AP Bateria,0.0568,0.0568,0.1354,0.1075,0.1354,85076000.0
AP Bateria para exposição,0.0568,0.0568,0.1354,0.1075,0.1354,85078000.0
Carregador rápido de bateria AL 300,0.0899,0.0899,0.1354,0.125,0.1354,85044010.0
Cortadores de pedra (TS 420/TS 800),0.0461,0.0461,0.0938,0.0829,0.0938,84678900.0
KA 85 R,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
KA 85 R BF,0.0784,0.0645,0.0938,0.0928,0.0938,84322900.0
KA 85 R FCS,0.0899,0.0899,0.1354,0.125,0.1354,84678900.0
KA 85 R HL 145°,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
KA 85 R HT ,0.0784,0.0645,0.0938,0.0928,0.0938,84678100.0
KA 85 R FS,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
KA 85 R SP - Derriçador de Café,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
KA 85 R SP – Colhedor de Oliva,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
KA 120 R SP - Colhedor de Oliva,0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
"KA 120 R, HT - Motopoda",0.0784,0.0645,0.0938,0.0928,0.0938,84678100.0
"KA 120 , FCS (Aparador de cantos)",0.0461,0.0461,0.0938,0.0829,0.0938,84678900.0
FCB-KM / HT-KM / BF-KM / BG-KM,0.0568,0.0568,0.1354,0.1075,0.1354,82079000.0
KM 85 R BG - Soprador Axial,0.0568,0.0568,0.1354,0.1075,0.1354,84145990.0
"KM 85 R, BF-KM",0.0784,0.0645,0.0938,0.0928,0.0938,84322900.0
KM 85 R HT,0.0572,0.043,0.0729,0.072,0.0729,84678100.0
"KM 85 R,FS-KM / KM 85 R,HL-KM 145°",0.0784,0.0645,0.0938,0.0928,0.0938,84678900.0
Implemento HT KM,0.0568,0.0568,0.1354,0.1075,0.1354,84679100.0
FS-KM / HL-KM 145º,0.0568,0.0568,0.1354,0.1075,0.1354,84679900.0
Implemento FS (Roçadeira) / FCS (Aparador de cantos),0.0,0.0568,0.1354,0.1075,0.1354,82079000.0
Implemento HT-KM / HT (Motopoda),0.0,0.0568,0.1354,0.1075,0.1354,84679100.0
Implemento HT-KA (Motopoda),0.0,0.0568,0.1354,0.1075,0.1354,82079000.0
Implemento BF (Cultivador do solo),0.0,0.0568,0.1354,0.1075,0.1354,82079000.0
Lubrificantes ,0.0,0.0,0.0,0.0,0.0,27101932.0
Correntes,0.0568,0.0568,0.1354,0.1075,0.1354,82024000.0
Limas,0.0568,0.0568,0.1354,0.1075,0.1354,82031010.0
Cabeçote corte Fio de Nylon,0.0568,0.0568,0.1354,0.1075,0.1354,84679900.0
Sabres ,0.0568,0.0568,0.1354,0.1075,0.1354,84679100.0
